cell_id,Aplopelia larvata,Aplopelia larvata inornata,Aplopelia larvata principalis,Aplopelia larvata simplex,Aplopelia larvata larvata/bronzina
8452831ffffffff,1.0,0.0,0.0,0.0,0.0
84529b5ffffffff,4.0,0.0,0.0,0.0,0.0
84529b9ffffffff,17.0,0.0,0.0,0.0,0.0
8458c3dffffffff,3.0,0.0,0.0,0.0,0.0
8458d27ffffffff,2.0,0.0,0.0,0.0,0.0
8458d33ffffffff,12.0,12.0,0.0,0.0,0.0
8458d37ffffffff,4.0,2.0,0.0,0.0,0.0
846a4cbffffffff,1.0,0.0,0.0,0.0,0.0
846a68bffffffff,1.0,0.0,0.0,0.0,0.0
846a697ffffffff,2.0,0.0,0.0,0.0,0.0
846a6b1ffffffff,1.0,0.0,0.0,0.0,0.0
846a6b5ffffffff,1.0,0.0,0.0,0.0,0.0
846ac0bffffffff,2.0,0.0,0.0,0.0,0.0
846ac15ffffffff,3.0,0.0,0.0,0.0,0.0
846ac3dffffffff,2.0,0.0,0.0,0.0,0.0
846acadffffffff,3.0,0.0,0.0,0.0,0.0
846adc1ffffffff,14.0,0.0,0.0,0.0,0.0
846adc9ffffffff,1.0,0.0,0.0,0.0,0.0
846ade5ffffffff,1.0,0.0,0.0,0.0,0.0
846ade7ffffffff,15.0,0.0,0.0,0.0,0.0
8475a07ffffffff,1.0,0.0,0.0,0.0,0.0
8475a3dffffffff,3.0,0.0,0.0,0.0,0.0
847a40dffffffff,1.0,0.0,0.0,0.0,0.0
847a453ffffffff,5.0,0.0,0.0,0.0,0.0
847a455ffffffff,22.0,0.0,0.0,0.0,0.0
847a457ffffffff,8.0,0.0,0.0,0.0,0.0
847a45bffffffff,23.0,0.0,0.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0,0.0,0.0
847a4c5ffffffff,5.0,0.0,0.0,0.0,0.0
847a4c7ffffffff,2.0,0.0,0.0,0.0,0.0
847a4c9ffffffff,2.0,0.0,0.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0,0.0,0.0
847a643ffffffff,15.0,0.0,0.0,0.0,0.0
847a653ffffffff,6.0,0.0,0.0,0.0,0.0
847a68dffffffff,2.0,0.0,0.0,0.0,0.0
847a6d1ffffffff,2.0,0.0,0.0,0.0,0.0
847a6e5ffffffff,9.0,0.0,0.0,0.0,0.0
847a6e7ffffffff,2.0,0.0,0.0,0.0,0.0
847ac81ffffffff,69.0,0.0,0.0,0.0,0.0
847ac8bffffffff,1.0,0.0,0.0,0.0,0.0
847acb3ffffffff,2.0,0.0,0.0,0.0,0.0
847acb5ffffffff,6.0,0.0,0.0,0.0,0.0
847acc5ffffffff,2.0,0.0,0.0,0.0,0.0
847accdffffffff,7.0,0.0,0.0,0.0,0.0
847acd1ffffffff,2.0,0.0,0.0,0.0,0.0
847acd5ffffffff,52.0,0.0,0.0,0.0,0.0
847ae81ffffffff,3.0,0.0,0.0,0.0,0.0
847aeb3ffffffff,1.0,0.0,0.0,0.0,0.0
847b487ffffffff,10.0,0.0,0.0,0.0,0.0
847b4b9ffffffff,11.0,0.0,0.0,0.0,0.0
847b4bdffffffff,1.0,0.0,0.0,0.0,0.0
847b4dbffffffff,1.0,0.0,0.0,0.0,0.0
84828bdffffffff,2.0,0.0,0.0,0.0,0.0
84828d1ffffffff,96.0,20.0,0.0,0.0,0.0
8482ab7ffffffff,4.0,2.0,0.0,0.0,0.0
8482c0dffffffff,41.0,0.0,16.0,0.0,0.0
8482c6bffffffff,2.0,0.0,2.0,0.0,0.0
8482d03ffffffff,4.0,3.0,0.0,0.0,0.0
8482d1dffffffff,9.0,1.0,0.0,0.0,0.0
8482d3dffffffff,1.0,1.0,0.0,0.0,0.0
8482e31ffffffff,35.0,0.0,0.0,17.0,0.0
8482e33ffffffff,38.0,0.0,0.0,27.0,0.0
8482e37ffffffff,30.0,0.0,0.0,21.0,0.0
8496097ffffffff,6.0,0.0,0.0,0.0,2.0
84960bbffffffff,2.0,0.0,0.0,0.0,1.0
8496335ffffffff,1.0,0.0,0.0,0.0,0.0
8496569ffffffff,1.0,0.0,0.0,0.0,1.0
8496903ffffffff,1.0,0.0,0.0,0.0,0.0
