cell_id,Centropus sinensis,Centropus sinensis [sinensis Group],Centropus sinensis parroti
823c07fffffffff,2.0,0.0,0.0
823c0ffffffffff,4.0,0.0,0.0
823c17fffffffff,7.0,7.0,0.0
823c1ffffffffff,12.0,0.0,0.0
823c37fffffffff,5.0,5.0,0.0
823c57fffffffff,2.0,0.0,0.0
823c5ffffffffff,52.0,0.0,0.0
823c8ffffffffff,16.0,0.0,6.0
823c97fffffffff,175.0,0.0,172.0
823c9ffffffffff,15.0,0.0,9.0
823ca7fffffffff,2.0,0.0,0.0
823caffffffffff,4.0,1.0,2.0
823cb7fffffffff,31.0,0.0,29.0
823ccffffffffff,11.0,0.0,0.0
823ce7fffffffff,1.0,0.0,0.0
823ceffffffffff,7.0,0.0,0.0
823cf7fffffffff,50.0,0.0,12.0
823d17fffffffff,53.0,12.0,0.0
823d37fffffffff,3.0,0.0,0.0
823d87fffffffff,96.0,10.0,79.0
823d8ffffffffff,25.0,19.0,5.0
823d97fffffffff,16.0,0.0,16.0
823d9ffffffffff,47.0,0.0,47.0
823da7fffffffff,33.0,19.0,14.0
823daffffffffff,25.0,4.0,0.0
823db7fffffffff,31.0,0.0,31.0
82400ffffffffff,2.0,0.0,0.0
82411ffffffffff,8.0,6.0,0.0
824197fffffffff,2.0,0.0,0.0
8241a7fffffffff,8.0,3.0,0.0
8241b7fffffffff,4.0,2.0,0.0
82425ffffffffff,1.0,0.0,1.0
8242c7fffffffff,112.0,0.0,111.0
8242cffffffffff,214.0,0.0,214.0
8242dffffffffff,136.0,0.0,136.0
8242e7fffffffff,6.0,0.0,6.0
8242effffffffff,9.0,0.0,9.0
826007fffffffff,569.0,0.0,498.0
826017fffffffff,736.0,0.0,719.0
82601ffffffffff,88.0,0.0,86.0
826027fffffffff,476.0,0.0,354.0
826037fffffffff,698.0,0.0,647.0
826087fffffffff,18.0,0.0,18.0
82608ffffffffff,1594.0,0.0,1588.0
826097fffffffff,186.0,0.0,185.0
82609ffffffffff,1961.0,0.0,1961.0
8260a7fffffffff,33.0,0.0,32.0
8260affffffffff,293.0,0.0,292.0
8260b7fffffffff,25.0,0.0,7.0
8260f7fffffffff,1.0,0.0,1.0
826107fffffffff,2.0,0.0,2.0
82618ffffffffff,442.0,0.0,395.0
82619ffffffffff,35.0,0.0,29.0
8261affffffffff,3.0,0.0,0.0
826437fffffffff,1.0,1.0,0.0
82648ffffffffff,1.0,0.0,0.0
8264a7fffffffff,1.0,0.0,0.0
826507fffffffff,200.0,0.0,0.0
82651ffffffffff,310.0,0.0,0.0
826527fffffffff,20.0,0.0,0.0
82658ffffffffff,5.0,5.0,0.0
82659ffffffffff,1.0,1.0,0.0
828db7fffffffff,1.0,0.0,0.0
