cell_id,Psalidoprocne albiceps,Psalidoprocne albiceps albiceps,Psalidoprocne albiceps suffusa
826a5ffffffffff,12.0,1.0,0.0
826ac7fffffffff,702.0,104.0,0.0
826acffffffffff,495.0,72.0,0.0
826adffffffffff,281.0,20.0,0.0
826aeffffffffff,490.0,72.0,0.0
827a4ffffffffff,763.0,0.0,0.0
827a67fffffffff,13.0,0.0,0.0
827a6ffffffffff,490.0,2.0,0.0
829617fffffffff,11.0,6.0,0.0
82968ffffffffff,1.0,0.0,0.0
829697fffffffff,33.0,2.0,0.0
82969ffffffffff,6.0,0.0,0.0
8296a7fffffffff,25.0,2.0,0.0
8296affffffffff,3.0,2.0,0.0
8296b7fffffffff,13.0,0.0,0.0
82978ffffffffff,2.0,0.0,0.0
8297affffffffff,1.0,0.0,0.0
