cell_id,Turdus chiguanco,Turdus chiguanco chiguanco/conradi,Turdus chiguanco anthracinus
838b20fffffffff,165.0,0.0,0.0
838b21fffffffff,129.0,0.0,0.0
838b22fffffffff,12.0,0.0,0.0
838b24fffffffff,35.0,0.0,0.0
838b25fffffffff,164.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0
838b2cfffffffff,527.0,0.0,0.0
838b2dfffffffff,17.0,0.0,0.0
838b60fffffffff,39.0,0.0,0.0
838b61fffffffff,5664.0,122.0,0.0
838b64fffffffff,4.0,0.0,0.0
838b65fffffffff,28.0,0.0,0.0
838b66fffffffff,17.0,0.0,0.0
838b6cfffffffff,527.0,1.0,0.0
838b75fffffffff,9.0,0.0,0.0
838e60fffffffff,273.0,0.0,0.0
838e61fffffffff,36.0,0.0,0.0
838e62fffffffff,227.0,0.0,0.0
838e63fffffffff,1.0,0.0,0.0
838e64fffffffff,113.0,0.0,0.0
838e65fffffffff,135.0,0.0,0.0
838e66fffffffff,855.0,0.0,0.0
838e68fffffffff,14.0,0.0,0.0
838e69fffffffff,48.0,0.0,0.0
838e6afffffffff,6.0,0.0,0.0
838e6bfffffffff,8.0,0.0,0.0
838e6cfffffffff,84.0,0.0,0.0
838e6dfffffffff,620.0,0.0,0.0
838e6efffffffff,36.0,0.0,0.0
838e75fffffffff,100.0,0.0,0.0
838f0dfffffffff,55.0,2.0,0.0
838f29fffffffff,99.0,2.0,0.0
838f2bfffffffff,10.0,0.0,0.0
838f2dfffffffff,146.0,0.0,0.0
838f42fffffffff,24.0,0.0,0.0
838f46fffffffff,11.0,0.0,0.0
838f4afffffffff,10.0,2.0,0.0
838f50fffffffff,76.0,0.0,0.0
838f51fffffffff,687.0,0.0,0.0
838f54fffffffff,221.0,0.0,0.0
838f55fffffffff,435.0,0.0,0.0
838f58fffffffff,358.0,0.0,0.0
838f59fffffffff,211.0,15.0,0.0
838f5bfffffffff,67.0,0.0,0.0
838f5cfffffffff,40.0,0.0,0.0
838f5dfffffffff,8.0,0.0,0.0
838f5efffffffff,5.0,0.0,0.0
838f72fffffffff,131.0,17.0,0.0
838f73fffffffff,6.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0
838f76fffffffff,587.0,13.0,0.0
83b209fffffffff,53.0,0.0,0.0
83b20bfffffffff,41.0,0.0,0.0
83b20dfffffffff,18.0,0.0,0.0
83b20efffffffff,1.0,0.0,0.0
83b225fffffffff,4.0,0.0,0.0
83b228fffffffff,5.0,0.0,0.0
83b229fffffffff,15.0,0.0,0.0
83b22bfffffffff,13.0,0.0,0.0
83b22dfffffffff,20.0,0.0,0.0
83b240fffffffff,43.0,0.0,0.0
83b241fffffffff,8.0,0.0,0.0
83b242fffffffff,196.0,0.0,0.0
83b243fffffffff,1472.0,0.0,0.0
83b244fffffffff,4.0,0.0,0.0
83b246fffffffff,4.0,0.0,0.0
83b24cfffffffff,2.0,0.0,0.0
83b250fffffffff,25.0,0.0,0.0
83b251fffffffff,37.0,0.0,0.0
83b252fffffffff,8.0,0.0,0.0
83b254fffffffff,12.0,0.0,0.0
83b255fffffffff,12.0,0.0,0.0
83b256fffffffff,7.0,0.0,0.0
83b258fffffffff,462.0,0.0,0.0
83b259fffffffff,6.0,0.0,0.0
83b25afffffffff,50.0,0.0,0.0
83b25bfffffffff,5.0,0.0,0.0
83b25cfffffffff,1188.0,0.0,0.0
83b25dfffffffff,539.0,0.0,0.0
83b25efffffffff,238.0,0.0,0.0
83b262fffffffff,12.0,0.0,0.0
83b270fffffffff,265.0,0.0,0.0
83b271fffffffff,8.0,0.0,0.0
83b272fffffffff,57.0,0.0,0.0
83b273fffffffff,2.0,0.0,0.0
83b274fffffffff,414.0,0.0,13.0
83b275fffffffff,26.0,0.0,0.0
83b276fffffffff,23.0,0.0,0.0
83b2c8fffffffff,86.0,0.0,0.0
83b2cbfffffffff,2.0,0.0,0.0
83b2ccfffffffff,2.0,0.0,0.0
83b2cdfffffffff,26.0,0.0,0.0
83b2cefffffffff,26.0,0.0,0.0
83b2e1fffffffff,81.0,0.0,0.0
83b2e3fffffffff,8.0,0.0,0.0
83b2e4fffffffff,5.0,0.0,0.0
83b2e5fffffffff,4.0,0.0,0.0
83b2e8fffffffff,79.0,0.0,0.0
83b2e9fffffffff,55.0,0.0,0.0
83b2eafffffffff,67.0,0.0,0.0
83b2ebfffffffff,34.0,0.0,0.0
83b2ecfffffffff,14.0,0.0,0.0
83b2edfffffffff,14.0,0.0,0.0
83b2eefffffffff,416.0,0.0,0.0
83b300fffffffff,79.0,1.0,0.0
83b301fffffffff,69.0,0.0,0.0
83b304fffffffff,343.0,0.0,0.0
83b305fffffffff,745.0,4.0,0.0
83b30bfffffffff,123.0,0.0,3.0
83b30efffffffff,7.0,0.0,0.0
83b320fffffffff,151.0,0.0,0.0
83b321fffffffff,403.0,0.0,0.0
83b322fffffffff,2.0,0.0,0.0
83b324fffffffff,98.0,0.0,0.0
83b325fffffffff,106.0,0.0,0.0
83b326fffffffff,82.0,0.0,0.0
83b328fffffffff,2.0,0.0,0.0
83b32afffffffff,2.0,0.0,0.0
83b32cfffffffff,44.0,0.0,0.0
83b32dfffffffff,46.0,0.0,0.0
83b330fffffffff,42.0,0.0,0.0
83b331fffffffff,15.0,0.0,0.0
83b334fffffffff,121.0,0.0,0.0
83b335fffffffff,383.0,0.0,0.0
83b340fffffffff,2.0,0.0,0.0
83b342fffffffff,184.0,0.0,0.0
83b346fffffffff,103.0,0.0,0.0
83b351fffffffff,808.0,0.0,0.0
83b353fffffffff,11.0,0.0,0.0
83b354fffffffff,5.0,0.0,0.0
83b355fffffffff,267.0,0.0,0.0
83b356fffffffff,52.0,0.0,1.0
83b358fffffffff,13.0,0.0,2.0
83b35afffffffff,453.0,0.0,11.0
83b35bfffffffff,15.0,0.0,0.0
83b35cfffffffff,54.0,0.0,0.0
83b35dfffffffff,5.0,0.0,0.0
83b35efffffffff,1054.0,0.0,21.0
83b362fffffffff,3.0,0.0,0.0
83b370fffffffff,1.0,0.0,0.0
83b371fffffffff,6.0,0.0,0.0
83b373fffffffff,411.0,0.0,0.0
83b374fffffffff,3.0,0.0,0.0
83b376fffffffff,1.0,0.0,0.0
83c305fffffffff,7.0,0.0,0.0
83c308fffffffff,2.0,0.0,0.0
83c320fffffffff,64.0,0.0,0.0
83c321fffffffff,32.0,0.0,0.0
83c323fffffffff,2.0,0.0,0.0
83c325fffffffff,8.0,0.0,0.0
83c328fffffffff,13.0,0.0,0.0
83c329fffffffff,174.0,0.0,0.0
83c32afffffffff,70.0,0.0,0.0
83c32bfffffffff,2.0,0.0,0.0
83c32dfffffffff,31.0,0.0,0.0
83c32efffffffff,263.0,0.0,0.0
83c34cfffffffff,2.0,0.0,0.0
83c360fffffffff,166.0,0.0,0.0
83c361fffffffff,2.0,0.0,0.0
83c364fffffffff,11.0,0.0,0.0
83c365fffffffff,8.0,0.0,0.0
83c366fffffffff,11.0,0.0,0.0
83c36cfffffffff,4.0,0.0,0.0
83c36dfffffffff,10.0,0.0,0.0
83c370fffffffff,9.0,0.0,0.0
83c371fffffffff,104.0,0.0,0.0
83c373fffffffff,2.0,0.0,0.0
83c374fffffffff,2.0,0.0,0.0
83c375fffffffff,17.0,0.0,0.0
83c376fffffffff,2.0,0.0,0.0
83ce80fffffffff,40.0,0.0,0.0
83ce82fffffffff,11.0,0.0,0.0
83ce83fffffffff,28.0,0.0,0.0
83ce86fffffffff,5.0,0.0,0.0
83ce91fffffffff,19.0,0.0,0.0
83ce92fffffffff,8.0,0.0,0.0
83ce93fffffffff,331.0,0.0,0.0
83ce96fffffffff,33.0,0.0,0.0
83ce98fffffffff,341.0,0.0,0.0
83ce9afffffffff,1.0,0.0,0.0
83ce9bfffffffff,12.0,0.0,0.0
83ce9cfffffffff,205.0,0.0,0.0
83ce9dfffffffff,4.0,0.0,0.0
83ce9efffffffff,55.0,0.0,0.0
