cell_id,Treron formosae,Treron formosae permagnus/medioximus,Treron formosae formosae/filipinus
834b56fffffffff,23.0,23.0,0.0
834b84fffffffff,8.0,0.0,0.0
834b86fffffffff,9.0,0.0,2.0
834ba3fffffffff,8.0,0.0,0.0
834ba8fffffffff,1.0,1.0,0.0
834bb1fffffffff,10.0,0.0,1.0
