cell_id,Stilpnia cayana,Stilpnia cayana cayana/fulvescens,Stilpnia cayana [flava Group]
835f08fffffffff,40.0,0.0,0.0
835f09fffffffff,73.0,0.0,0.0
835f0bfffffffff,9.0,0.0,0.0
835f0dfffffffff,18.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0
835f13fffffffff,5.0,0.0,0.0
835f1cfffffffff,29.0,0.0,0.0
835f22fffffffff,12.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0
835f29fffffffff,273.0,2.0,0.0
835f2bfffffffff,20.0,0.0,0.0
835f2dfffffffff,194.0,0.0,0.0
835f40fffffffff,52.0,1.0,0.0
835f41fffffffff,18.0,0.0,0.0
835f42fffffffff,13.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0
835f48fffffffff,8.0,0.0,0.0
835f49fffffffff,8.0,0.0,0.0
835f4afffffffff,7.0,0.0,0.0
835f4bfffffffff,27.0,5.0,0.0
835f4efffffffff,1.0,0.0,0.0
835f63fffffffff,3.0,0.0,0.0
835f66fffffffff,2.0,0.0,0.0
835f68fffffffff,9.0,0.0,0.0
835f69fffffffff,1.0,0.0,0.0
835f6afffffffff,5.0,0.0,0.0
835f70fffffffff,11.0,2.0,0.0
835f71fffffffff,51.0,0.0,0.0
835f74fffffffff,1.0,0.0,0.0
835f75fffffffff,97.0,2.0,0.0
835f76fffffffff,15.0,0.0,0.0
836601fffffffff,3.0,0.0,0.0
836609fffffffff,41.0,0.0,0.0
83660bfffffffff,135.0,0.0,0.0
83660cfffffffff,216.0,7.0,0.0
83660dfffffffff,187.0,2.0,0.0
836621fffffffff,3.0,0.0,0.0
836629fffffffff,183.0,0.0,0.0
83662afffffffff,14.0,0.0,0.0
83662bfffffffff,97.0,0.0,0.0
83662cfffffffff,2.0,0.0,0.0
83662dfffffffff,38.0,0.0,0.0
83662efffffffff,14.0,0.0,0.0
836640fffffffff,2.0,0.0,0.0
836641fffffffff,426.0,13.0,0.0
836643fffffffff,1.0,0.0,0.0
836644fffffffff,11.0,0.0,0.0
836645fffffffff,5.0,0.0,0.0
836646fffffffff,1.0,0.0,0.0
836650fffffffff,31.0,0.0,0.0
836651fffffffff,4.0,0.0,0.0
836652fffffffff,479.0,2.0,0.0
836653fffffffff,2.0,0.0,0.0
836654fffffffff,190.0,0.0,0.0
836655fffffffff,1.0,0.0,0.0
836656fffffffff,513.0,6.0,0.0
83665efffffffff,19.0,0.0,0.0
836660fffffffff,23.0,0.0,0.0
836662fffffffff,5.0,0.0,0.0
836663fffffffff,54.0,0.0,0.0
836664fffffffff,4.0,0.0,0.0
83666afffffffff,1.0,0.0,0.0
836670fffffffff,35.0,0.0,0.0
836671fffffffff,6.0,0.0,0.0
836672fffffffff,115.0,0.0,0.0
836673fffffffff,57.0,0.0,0.0
836674fffffffff,8.0,0.0,0.0
836675fffffffff,38.0,0.0,0.0
836676fffffffff,13.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0
8366c5fffffffff,84.0,0.0,0.0
8366cdfffffffff,12.0,0.0,0.0
8366e0fffffffff,686.0,17.0,0.0
8366e1fffffffff,637.0,1.0,0.0
8366e3fffffffff,222.0,12.0,0.0
8366e4fffffffff,2.0,0.0,0.0
8366e5fffffffff,1734.0,26.0,0.0
8366e8fffffffff,2.0,0.0,0.0
8366ecfffffffff,269.0,15.0,0.0
8366eefffffffff,344.0,0.0,0.0
836741fffffffff,63.0,2.0,0.0
836742fffffffff,7.0,0.0,0.0
836743fffffffff,320.0,8.0,0.0
836748fffffffff,1.0,0.0,0.0
83674afffffffff,19.0,1.0,0.0
83674cfffffffff,171.0,0.0,0.0
83674dfffffffff,3.0,0.0,0.0
83674efffffffff,265.0,0.0,0.0
836751fffffffff,10.0,0.0,0.0
836752fffffffff,38.0,0.0,0.0
836753fffffffff,55.0,0.0,0.0
836758fffffffff,17.0,0.0,0.0
836759fffffffff,43.0,6.0,0.0
83675afffffffff,180.0,4.0,0.0
83675bfffffffff,9.0,0.0,0.0
83675cfffffffff,306.0,0.0,0.0
83675dfffffffff,14.0,0.0,0.0
83675efffffffff,126.0,2.0,0.0
838000fffffffff,2.0,0.0,2.0
838002fffffffff,29.0,0.0,0.0
838005fffffffff,7.0,0.0,0.0
838006fffffffff,6.0,0.0,0.0
838010fffffffff,244.0,0.0,11.0
838011fffffffff,44.0,0.0,0.0
838014fffffffff,1.0,0.0,0.0
838015fffffffff,2.0,0.0,0.0
838016fffffffff,9.0,0.0,0.0
838021fffffffff,2.0,0.0,0.0
838023fffffffff,1.0,0.0,0.0
838030fffffffff,94.0,0.0,9.0
