cell_id,Turdus iliacus,Turdus iliacus coburni,Turdus iliacus iliacus
830122fffffffff,5.0,0.0,0.0
830124fffffffff,2.0,0.0,0.0
830125fffffffff,6.0,0.0,0.0
830126fffffffff,40.0,0.0,0.0
830130fffffffff,147.0,0.0,18.0
830131fffffffff,79.0,0.0,6.0
830134fffffffff,16.0,0.0,4.0
830135fffffffff,298.0,0.0,27.0
830588fffffffff,4.0,0.0,0.0
83058cfffffffff,10.0,0.0,0.0
830740fffffffff,2.0,0.0,0.0
830741fffffffff,411.0,166.0,0.0
830742fffffffff,236.0,111.0,0.0
830743fffffffff,1263.0,247.0,0.0
830744fffffffff,87.0,41.0,0.0
830745fffffffff,230.0,85.0,0.0
830746fffffffff,1618.0,690.0,0.0
83074efffffffff,60.0,41.0,0.0
830751fffffffff,46.0,2.0,0.0
830753fffffffff,35.0,11.0,0.0
830755fffffffff,121.0,45.0,0.0
830758fffffffff,217.0,65.0,0.0
83075cfffffffff,437.0,145.0,0.0
83075dfffffffff,1452.0,435.0,0.0
83075efffffffff,447.0,113.0,0.0
830762fffffffff,586.0,359.0,0.0
830763fffffffff,244.0,124.0,0.0
830770fffffffff,14.0,9.0,0.0
830771fffffffff,99.0,62.0,0.0
830773fffffffff,1025.0,685.0,0.0
830775fffffffff,59.0,22.0,0.0
830802fffffffff,9.0,0.0,0.0
830803fffffffff,2.0,0.0,0.0
830805fffffffff,6.0,0.0,0.0
830806fffffffff,51.0,0.0,0.0
830810fffffffff,28.0,0.0,0.0
830811fffffffff,24.0,0.0,0.0
830812fffffffff,14.0,0.0,1.0
830813fffffffff,14.0,0.0,0.0
830814fffffffff,36.0,0.0,0.0
830815fffffffff,53.0,0.0,0.0
830816fffffffff,10.0,0.0,0.0
830818fffffffff,5.0,0.0,0.0
830819fffffffff,33.0,0.0,0.0
83081afffffffff,2.0,0.0,0.0
83081dfffffffff,6.0,0.0,0.0
83081efffffffff,53.0,0.0,0.0
830828fffffffff,3.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0
83082afffffffff,1.0,0.0,0.0
83082bfffffffff,2.0,0.0,0.0
830832fffffffff,3.0,0.0,0.0
830833fffffffff,37.0,0.0,2.0
830836fffffffff,7.0,0.0,0.0
830880fffffffff,43.0,0.0,0.0
830882fffffffff,4.0,0.0,0.0
830883fffffffff,30.0,0.0,1.0
830884fffffffff,18.0,0.0,0.0
830885fffffffff,4.0,0.0,0.0
830886fffffffff,87.0,0.0,0.0
830888fffffffff,61.0,0.0,13.0
83088afffffffff,22.0,0.0,6.0
83088bfffffffff,5.0,0.0,0.0
83088dfffffffff,2.0,0.0,0.0
83088efffffffff,38.0,0.0,34.0
830890fffffffff,8.0,0.0,0.0
830893fffffffff,8.0,0.0,0.0
830895fffffffff,13.0,0.0,0.0
830896fffffffff,8.0,0.0,0.0
830898fffffffff,12.0,0.0,0.0
830899fffffffff,167.0,0.0,47.0
83089afffffffff,70.0,0.0,0.0
83089bfffffffff,11.0,0.0,0.0
83089dfffffffff,107.0,0.0,0.0
83089efffffffff,11.0,0.0,0.0
8308a0fffffffff,2.0,0.0,0.0
8308a2fffffffff,4.0,0.0,0.0
8308a3fffffffff,13.0,0.0,0.0
8308a4fffffffff,32.0,0.0,9.0
8308a5fffffffff,10.0,0.0,0.0
8308a6fffffffff,9.0,0.0,0.0
8308a8fffffffff,2.0,0.0,0.0
8308a9fffffffff,2.0,0.0,0.0
8308acfffffffff,2.0,0.0,0.0
8308aefffffffff,2.0,0.0,0.0
8308b0fffffffff,6.0,0.0,0.0
8308b1fffffffff,12.0,0.0,0.0
8308b2fffffffff,2.0,0.0,0.0
8308b3fffffffff,1.0,0.0,0.0
8308b4fffffffff,7.0,0.0,0.0
8308b5fffffffff,7.0,0.0,0.0
8308b6fffffffff,1.0,0.0,0.0
8308c0fffffffff,4.0,0.0,0.0
8308c1fffffffff,10.0,0.0,0.0
8308c2fffffffff,22.0,0.0,3.0
8308c3fffffffff,20.0,0.0,0.0
8308c4fffffffff,2.0,0.0,0.0
8308c5fffffffff,1.0,0.0,0.0
8308c6fffffffff,8.0,0.0,0.0
8308c8fffffffff,88.0,0.0,6.0
8308c9fffffffff,148.0,0.0,21.0
8308ccfffffffff,6.0,0.0,0.0
8308cdfffffffff,91.0,0.0,7.0
8308cefffffffff,39.0,0.0,10.0
8308d0fffffffff,11.0,0.0,4.0
8308d1fffffffff,139.0,0.0,9.0
8308d2fffffffff,2.0,0.0,0.0
8308d3fffffffff,34.0,0.0,0.0
8308d4fffffffff,17.0,0.0,1.0
8308d5fffffffff,42.0,0.0,0.0
8308d6fffffffff,2.0,0.0,0.0
8308d8fffffffff,216.0,0.0,27.0
8308dafffffffff,2.0,0.0,0.0
8308dbfffffffff,2.0,0.0,0.0
8308ddfffffffff,28.0,0.0,3.0
8308defffffffff,10.0,0.0,0.0
8308e0fffffffff,2.0,0.0,0.0
8308e1fffffffff,7.0,0.0,0.0
8308e3fffffffff,2.0,0.0,0.0
8308e4fffffffff,9.0,0.0,0.0
8308e6fffffffff,1.0,0.0,0.0
8308e8fffffffff,4.0,0.0,0.0
8308e9fffffffff,6.0,0.0,0.0
8308eafffffffff,18.0,0.0,0.0
8308ebfffffffff,2.0,0.0,0.0
8308ecfffffffff,36.0,0.0,0.0
8308edfffffffff,69.0,0.0,1.0
8308eefffffffff,1.0,0.0,0.0
