cell_id,Foudia eminentissima,Foudia eminentissima consobrina,Foudia eminentissima [eminentissima Group]
83a304fffffffff,23.0,0.0,0.0
83a322fffffffff,6.0,0.0,0.0
83a331fffffffff,16.0,0.0,0.0
83a335fffffffff,40.0,0.0,0.0
