cell_id,Gracula religiosa,Gracula religiosa [religiosa Group],Gracula religiosa miotera,Gracula religiosa robusta,Gracula religiosa enganensis
823c07fffffffff,4.0,0.0,0.0,0.0,0.0
823c0ffffffffff,31.0,0.0,0.0,0.0,0.0
823c17fffffffff,46.0,2.0,0.0,0.0,0.0
823c1ffffffffff,1005.0,0.0,0.0,0.0,0.0
823c37fffffffff,4.0,0.0,0.0,0.0,0.0
823c57fffffffff,141.0,0.0,0.0,0.0,0.0
823c5ffffffffff,734.0,0.0,0.0,0.0,0.0
823c87fffffffff,43.0,0.0,0.0,0.0,0.0
823c97fffffffff,144.0,0.0,0.0,0.0,0.0
823cc7fffffffff,702.0,0.0,0.0,0.0,0.0
823ccffffffffff,20.0,0.0,0.0,0.0,0.0
823cd7fffffffff,3.0,0.0,0.0,0.0,0.0
823cdffffffffff,48.0,0.0,0.0,0.0,0.0
823ce7fffffffff,1165.0,0.0,0.0,0.0,0.0
823ceffffffffff,816.0,0.0,0.0,0.0,0.0
823cf7fffffffff,93.0,0.0,0.0,0.0,0.0
82404ffffffffff,56.0,1.0,0.0,0.0,0.0
824067fffffffff,1.0,0.0,0.0,0.0,0.0
824107fffffffff,1.0,0.0,0.0,0.0,0.0
82411ffffffffff,1.0,0.0,0.0,0.0,0.0
82414ffffffffff,3.0,2.0,0.0,0.0,0.0
82416ffffffffff,4.0,2.0,0.0,0.0,0.0
82536ffffffffff,3.0,0.0,0.0,0.0,0.0
82640ffffffffff,1060.0,0.0,0.0,0.0,0.0
826417fffffffff,20.0,0.0,0.0,0.0,0.0
82641ffffffffff,85.0,0.0,0.0,0.0,0.0
82642ffffffffff,299.0,0.0,0.0,0.0,0.0
826437fffffffff,2.0,0.0,0.0,0.0,0.0
826487fffffffff,1.0,0.0,0.0,0.0,0.0
82648ffffffffff,14.0,0.0,0.0,0.0,0.0
82649ffffffffff,1.0,0.0,0.0,0.0,0.0
8264a7fffffffff,1.0,0.0,0.0,0.0,0.0
8264e7fffffffff,814.0,0.0,0.0,0.0,0.0
826527fffffffff,1111.0,0.0,0.0,0.0,0.0
826587fffffffff,311.0,0.0,0.0,0.0,0.0
826597fffffffff,336.0,0.0,0.0,0.0,0.0
82659ffffffffff,163.0,0.0,0.0,0.0,0.0
8265affffffffff,7.0,0.0,0.0,0.0,0.0
8265b7fffffffff,113.0,0.0,0.0,0.0,0.0
826817fffffffff,7.0,0.0,0.0,0.0,0.0
82682ffffffffff,343.0,18.0,0.0,0.0,0.0
