cell_id,Psarocolius angustifrons,Psarocolius angustifrons [angustifrons Group],Psarocolius angustifrons oleagineus
836618fffffffff,4.0,1.0,0.0
836619fffffffff,9.0,0.0,0.0
83661bfffffffff,24.0,3.0,0.0
8366c6fffffffff,1.0,0.0,0.0
8366cefffffffff,11.0,0.0,0.0
8366d3fffffffff,91.0,2.0,0.0
8366defffffffff,7.0,0.0,0.0
8366f0fffffffff,1.0,0.0,0.0
836741fffffffff,8.0,0.0,0.0
836743fffffffff,2.0,0.0,2.0
83674cfffffffff,5.0,0.0,0.0
83675afffffffff,21.0,2.0,0.0
83675cfffffffff,4.0,0.0,0.0
83675efffffffff,1.0,1.0,0.0
838a45fffffffff,13.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0
838a69fffffffff,2.0,0.0,0.0
838af6fffffffff,5.0,5.0,0.0
838b21fffffffff,2.0,2.0,0.0
838b2efffffffff,7.0,0.0,0.0
838b61fffffffff,25.0,25.0,0.0
838b63fffffffff,30.0,30.0,0.0
838b6cfffffffff,3.0,0.0,0.0
838b71fffffffff,6.0,6.0,0.0
838b74fffffffff,2.0,0.0,0.0
838f0dfffffffff,10.0,0.0,0.0
838f61fffffffff,14.0,0.0,0.0
838f72fffffffff,1.0,0.0,0.0
