cell_id,Myzomela wakoloensis,Myzomela wakoloensis elisabethae,Myzomela wakoloensis wakoloensis
829547fffffffff,129.0,0.0,84.0
82954ffffffffff,1.0,1.0,0.0
82956ffffffffff,129.0,81.0,0.0
