cell_id,Pheucticus chrysopeplus,Pheucticus chrysopeplus chrysopeplus/dilutus,Pheucticus chrysopeplus aurantiacus
8445251ffffffff,35.0,0.0,1.0
844525bffffffff,246.0,0.0,134.0
8448007ffffffff,2.0,0.0,0.0
8448029ffffffff,4.0,0.0,0.0
844802bffffffff,17.0,0.0,0.0
8448061ffffffff,2.0,0.0,0.0
8448065ffffffff,44.0,0.0,0.0
8448067ffffffff,5.0,0.0,0.0
844806dffffffff,54.0,0.0,0.0
84480a1ffffffff,1.0,0.0,0.0
84480a3ffffffff,3.0,0.0,0.0
84480a5ffffffff,18.0,0.0,0.0
84480a9ffffffff,1.0,0.0,0.0
84480adffffffff,340.0,0.0,0.0
84480e5ffffffff,2.0,0.0,0.0
844815bffffffff,49.0,0.0,0.0
84481dbffffffff,16.0,0.0,0.0
8448331ffffffff,41.0,0.0,0.0
8448333ffffffff,49.0,0.0,0.0
8448337ffffffff,242.0,0.0,0.0
844833bffffffff,93.0,0.0,0.0
844833dffffffff,4.0,0.0,0.0
8448361ffffffff,328.0,4.0,0.0
8448363ffffffff,9.0,0.0,0.0
8448365ffffffff,29.0,7.0,0.0
8448367ffffffff,36.0,0.0,0.0
8448369ffffffff,255.0,3.0,0.0
844836dffffffff,57.0,0.0,0.0
8448e41ffffffff,1.0,0.0,0.0
8448e43ffffffff,1.0,0.0,0.0
8448e49ffffffff,13.0,0.0,0.0
8448e4bffffffff,2.0,0.0,0.0
8448e55ffffffff,1.0,0.0,0.0
8449865ffffffff,2.0,0.0,0.0
844986dffffffff,11.0,0.0,0.0
84498d9ffffffff,1.0,0.0,0.0
8449941ffffffff,4.0,0.0,0.0
844994bffffffff,5.0,0.0,0.0
8449a81ffffffff,10.0,0.0,0.0
8449a83ffffffff,11.0,0.0,0.0
8449a85ffffffff,10.0,0.0,0.0
8449a8bffffffff,6.0,0.0,0.0
8449a8dffffffff,1.0,0.0,0.0
8449a91ffffffff,663.0,72.0,0.0
8449a93ffffffff,282.0,17.0,0.0
8449a97ffffffff,110.0,2.0,0.0
8449aa3ffffffff,3.0,0.0,0.0
8449ab5ffffffff,5.0,0.0,0.0
8449ad7ffffffff,18.0,6.0,0.0
8449ae3ffffffff,1.0,0.0,0.0
8449b05ffffffff,2.0,0.0,0.0
8449b15ffffffff,8.0,0.0,0.0
8449b21ffffffff,4.0,0.0,0.0
8449b23ffffffff,4.0,0.0,0.0
8449b2bffffffff,16.0,0.0,0.0
8449b31ffffffff,81.0,0.0,0.0
8449b33ffffffff,156.0,0.0,0.0
8449b35ffffffff,13.0,0.0,0.0
8449b37ffffffff,10.0,0.0,0.0
8449b3bffffffff,11.0,0.0,0.0
8449b67ffffffff,2.0,0.0,0.0
846d059ffffffff,1.0,0.0,0.0
846d05bffffffff,742.0,0.0,477.0
846d207ffffffff,1.0,0.0,0.0
846d217ffffffff,2.0,0.0,0.0
846d223ffffffff,3.0,0.0,0.0
846d231ffffffff,70.0,0.0,10.0
846d235ffffffff,6.0,0.0,2.0
846d239ffffffff,109.0,0.0,49.0
846d23bffffffff,7.0,0.0,2.0
846d23dffffffff,65.0,0.0,15.0
846d28dffffffff,1.0,0.0,0.0
846d299ffffffff,27.0,0.0,19.0
846d2a9ffffffff,136.0,0.0,64.0
846d2abffffffff,77.0,0.0,33.0
846d2e3ffffffff,5.0,0.0,0.0
846d2e5ffffffff,6.0,0.0,0.0
846d2e7ffffffff,1.0,0.0,0.0
846d2e9ffffffff,15.0,0.0,3.0
846d2edffffffff,2.0,0.0,2.0
846d361ffffffff,5.0,0.0,0.0
846d365ffffffff,19.0,6.0,0.0
846d367ffffffff,27.0,5.0,0.0
