cell_id,Calendulauda africanoides,Calendulauda africanoides [africanoides Group],Calendulauda africanoides alopex/intercedens
836a49fffffffff,1.0,0.0,1.0
836a5afffffffff,21.0,0.0,21.0
837a40fffffffff,285.0,0.0,261.0
837a41fffffffff,99.0,0.0,94.0
837a45fffffffff,8.0,0.0,8.0
837a4afffffffff,3.0,0.0,3.0
837a5afffffffff,17.0,0.0,17.0
837a60fffffffff,4.0,0.0,4.0
837a61fffffffff,83.0,0.0,78.0
837a63fffffffff,3.0,0.0,3.0
837a64fffffffff,8.0,0.0,8.0
837a65fffffffff,65.0,0.0,63.0
837a68fffffffff,39.0,0.0,35.0
837a6afffffffff,15.0,0.0,14.0
837a6cfffffffff,5.0,0.0,5.0
837a6dfffffffff,115.0,0.0,107.0
837a6efffffffff,184.0,0.0,157.0
837ac8fffffffff,10.0,0.0,10.0
837ad9fffffffff,12.0,0.0,12.0
837ae8fffffffff,11.0,0.0,9.0
837ae9fffffffff,62.0,0.0,53.0
837aedfffffffff,22.0,0.0,22.0
839668fffffffff,1.0,0.0,0.0
839675fffffffff,1.0,1.0,0.0
839690fffffffff,84.0,0.0,83.0
839692fffffffff,227.0,0.0,221.0
839693fffffffff,37.0,0.0,37.0
839724fffffffff,1.0,1.0,0.0
839729fffffffff,1.0,1.0,0.0
83972cfffffffff,1.0,1.0,0.0
83972efffffffff,1.0,1.0,0.0
839740fffffffff,16.0,11.0,0.0
839741fffffffff,9.0,8.0,0.0
839743fffffffff,14.0,12.0,0.0
839744fffffffff,3.0,3.0,0.0
839745fffffffff,66.0,42.0,0.0
839748fffffffff,4.0,4.0,0.0
83974afffffffff,38.0,36.0,0.0
83974bfffffffff,21.0,14.0,0.0
83974efffffffff,35.0,24.0,0.0
839751fffffffff,14.0,14.0,0.0
839754fffffffff,11.0,8.0,0.0
83975cfffffffff,4.0,4.0,0.0
83975dfffffffff,3.0,3.0,0.0
83975efffffffff,3.0,3.0,0.0
839763fffffffff,9.0,9.0,0.0
839768fffffffff,4.0,4.0,0.0
839773fffffffff,2.0,2.0,0.0
839775fffffffff,2.0,2.0,0.0
83ac80fffffffff,27.0,25.0,0.0
83ac81fffffffff,8.0,6.0,0.0
83ac82fffffffff,21.0,17.0,0.0
83ac84fffffffff,5.0,4.0,0.0
83ac85fffffffff,4.0,4.0,0.0
83ac86fffffffff,20.0,19.0,0.0
83ac96fffffffff,3.0,3.0,0.0
83aca1fffffffff,6.0,5.0,0.0
83aca2fffffffff,25.0,18.0,0.0
83aca3fffffffff,5.0,5.0,0.0
83aca4fffffffff,8.0,8.0,0.0
83aca6fffffffff,13.0,12.0,0.0
83acaafffffffff,1.0,1.0,0.0
83ad82fffffffff,45.0,38.0,0.0
83ad86fffffffff,41.0,35.0,0.0
83ad88fffffffff,1.0,1.0,0.0
83ad91fffffffff,2.0,0.0,0.0
83ad92fffffffff,5.0,4.0,0.0
83ad94fffffffff,2.0,2.0,0.0
83ad95fffffffff,9.0,5.0,0.0
83ad9afffffffff,1.0,1.0,0.0
83ad9bfffffffff,3.0,3.0,0.0
83ad9dfffffffff,6.0,6.0,0.0
83ada0fffffffff,17.0,13.0,0.0
83ada1fffffffff,31.0,31.0,0.0
83ada2fffffffff,7.0,7.0,0.0
83ada4fffffffff,3.0,2.0,0.0
83adb0fffffffff,16.0,12.0,0.0
83adb1fffffffff,2.0,2.0,0.0
83adb2fffffffff,17.0,17.0,0.0
83adb3fffffffff,6.0,6.0,0.0
83adb4fffffffff,7.0,7.0,0.0
83adb5fffffffff,6.0,5.0,0.0
83adb6fffffffff,2.0,2.0,0.0
83bc58fffffffff,2.0,2.0,0.0
83bc5bfffffffff,1.0,1.0,0.0
83bc89fffffffff,5.0,5.0,0.0
83bcc3fffffffff,2.0,2.0,0.0
83bccdfffffffff,1.0,1.0,0.0
83bcd9fffffffff,6.0,6.0,0.0
83bcdcfffffffff,15.0,13.0,0.0
83bcdefffffffff,1.0,0.0,0.0
83bce8fffffffff,4.0,4.0,0.0
83bce9fffffffff,74.0,69.0,0.0
83bceafffffffff,3.0,3.0,0.0
