cell_id,Toxostoma curvirostre,Toxostoma curvirostre [curvirostre Group],Toxostoma curvirostre [palmeri Group]
832688fffffffff,2564.0,30.0,0.0
832689fffffffff,362.0,14.0,0.0
83268bfffffffff,19.0,2.0,0.0
83268dfffffffff,34.0,2.0,0.0
83268efffffffff,3.0,0.0,0.0
832699fffffffff,2.0,0.0,0.0
8326c3fffffffff,3.0,0.0,0.0
8326d0fffffffff,31.0,0.0,0.0
8326d1fffffffff,218.0,0.0,0.0
8326d2fffffffff,140.0,0.0,0.0
8326d3fffffffff,139.0,6.0,0.0
8326d4fffffffff,400.0,24.0,0.0
8326d5fffffffff,11.0,0.0,0.0
8326d6fffffffff,57.0,0.0,0.0
8326d8fffffffff,52.0,0.0,0.0
8326d9fffffffff,250.0,0.0,0.0
8326dafffffffff,243.0,3.0,0.0
8326dbfffffffff,262.0,0.0,0.0
8326dcfffffffff,20.0,0.0,0.0
8326ddfffffffff,26.0,0.0,0.0
8326defffffffff,406.0,12.0,0.0
8326f2fffffffff,130.0,1.0,0.0
8326f3fffffffff,38.0,0.0,0.0
8329b0fffffffff,88.0,0.0,12.0
8329b1fffffffff,1058.0,0.0,302.0
8329b2fffffffff,141.0,0.0,4.0
8329b3fffffffff,238.0,0.0,4.0
8329b4fffffffff,16.0,0.0,4.0
8329b6fffffffff,6998.0,0.0,1008.0
834801fffffffff,74.0,0.0,0.0
834802fffffffff,106.0,0.0,0.0
834803fffffffff,17.0,0.0,0.0
834806fffffffff,81.0,0.0,0.0
834808fffffffff,20.0,0.0,0.0
834809fffffffff,550.0,0.0,0.0
83480afffffffff,895.0,0.0,0.0
83480bfffffffff,70.0,0.0,0.0
83480efffffffff,260.0,0.0,0.0
834810fffffffff,164.0,0.0,0.0
834812fffffffff,8.0,0.0,0.0
834813fffffffff,8.0,0.0,0.0
834814fffffffff,712.0,0.0,0.0
834815fffffffff,10.0,0.0,0.0
834816fffffffff,88.0,0.0,0.0
834818fffffffff,3.0,0.0,0.0
834819fffffffff,30.0,0.0,0.0
83481afffffffff,24.0,0.0,0.0
83481bfffffffff,51.0,0.0,0.0
83481cfffffffff,4.0,0.0,0.0
83481dfffffffff,70.0,0.0,0.0
83481efffffffff,13.0,0.0,0.0
834830fffffffff,7.0,0.0,0.0
834832fffffffff,8.0,0.0,0.0
834833fffffffff,119.0,0.0,0.0
834836fffffffff,73.0,0.0,0.0
834850fffffffff,6.0,0.0,0.0
834852fffffffff,32.0,0.0,0.0
834856fffffffff,331.0,0.0,0.0
83485afffffffff,71.0,0.0,0.0
83485efffffffff,19.0,0.0,0.0
834880fffffffff,466.0,0.0,0.0
834881fffffffff,25.0,0.0,0.0
834882fffffffff,862.0,8.0,0.0
834883fffffffff,443.0,3.0,0.0
834884fffffffff,93.0,0.0,0.0
834885fffffffff,11.0,0.0,0.0
834886fffffffff,594.0,0.0,0.0
834888fffffffff,230.0,0.0,0.0
834889fffffffff,182.0,2.0,0.0
83488afffffffff,262.0,0.0,0.0
83488bfffffffff,1825.0,2.0,0.0
83488cfffffffff,49.0,0.0,0.0
83488dfffffffff,1489.0,48.0,0.0
83488efffffffff,265.0,6.0,0.0
834890fffffffff,40.0,0.0,0.0
834891fffffffff,13.0,0.0,0.0
834895fffffffff,695.0,5.0,0.0
834898fffffffff,17.0,0.0,0.0
834899fffffffff,59.0,2.0,0.0
83489cfffffffff,870.0,14.0,0.0
83489dfffffffff,51.0,0.0,0.0
8348a0fffffffff,447.0,2.0,0.0
8348a1fffffffff,2.0,0.0,0.0
8348a2fffffffff,654.0,0.0,0.0
