cell_id,Tunchiornis ochraceiceps,Tunchiornis ochraceiceps [ochraceiceps Group],Tunchiornis ochraceiceps ferrugineifrons/viridior,Tunchiornis ochraceiceps luteifrons,Tunchiornis ochraceiceps rubrifrons/lutescens
824507fffffffff,3.0,0.0,0.0,0.0,0.0
82450ffffffffff,2.0,0.0,0.0,0.0,0.0
824527fffffffff,7.0,0.0,0.0,0.0,0.0
82452ffffffffff,25.0,16.0,0.0,0.0,0.0
825f07fffffffff,1.0,0.0,0.0,1.0,0.0
825f47fffffffff,2.0,0.0,0.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0,0.0,0.0
82661ffffffffff,26.0,0.0,0.0,0.0,0.0
8266b7fffffffff,2.0,2.0,0.0,0.0,0.0
8266c7fffffffff,5.0,0.0,0.0,0.0,0.0
8266d7fffffffff,1.0,0.0,0.0,0.0,0.0
8266dffffffffff,46.0,0.0,4.0,0.0,0.0
826797fffffffff,1.0,0.0,0.0,0.0,0.0
826d27fffffffff,7.0,0.0,0.0,0.0,0.0
826d2ffffffffff,10.0,6.0,0.0,0.0,0.0
826d37fffffffff,1.0,0.0,0.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0,0.0,0.0
826d6ffffffffff,5.0,5.0,0.0,0.0,0.0
828af7fffffffff,2.0,0.0,0.0,2.0,0.0
828b67fffffffff,3.0,0.0,1.0,0.0,0.0
828b9ffffffffff,1.0,0.0,0.0,0.0,1.0
