cell_id,Thalasseus sandvicensis,Thalasseus sandvicensis sandvicensis,Thalasseus sandvicensis acuflavidus,Thalasseus sandvicensis eurygnathus,Thalasseus sandvicensis acuflavidus x eurygnathus
820747fffffffff,4.0,0.0,0.0,0.0,0.0
820777fffffffff,2.0,0.0,0.0,0.0,0.0
820897fffffffff,2.0,0.0,0.0,0.0,0.0
82089ffffffffff,2.0,0.0,0.0,0.0,0.0
820997fffffffff,5.0,0.0,0.0,0.0,0.0
821807fffffffff,10.0,4.0,0.0,0.0,0.0
82182ffffffffff,58.0,49.0,0.0,0.0,0.0
821847fffffffff,9.0,0.0,0.0,0.0,0.0
82184ffffffffff,48.0,8.0,0.0,0.0,0.0
82185ffffffffff,65.0,2.0,0.0,0.0,0.0
821877fffffffff,4.0,2.0,0.0,0.0,0.0
82190ffffffffff,11.0,0.0,0.0,0.0,0.0
82192ffffffffff,5.0,0.0,0.0,0.0,0.0
821947fffffffff,27.0,8.0,0.0,0.0,0.0
82194ffffffffff,46.0,9.0,0.0,0.0,0.0
821957fffffffff,13.0,5.0,0.0,0.0,0.0
82195ffffffffff,71.0,17.0,0.0,0.0,0.0
82196ffffffffff,22.0,0.0,0.0,0.0,0.0
821977fffffffff,15.0,0.0,0.0,0.0,0.0
821aa7fffffffff,11.0,0.0,0.0,0.0,0.0
821e07fffffffff,4.0,0.0,0.0,0.0,0.0
821e17fffffffff,3.0,0.0,0.0,0.0,0.0
821e1ffffffffff,2.0,0.0,0.0,0.0,0.0
821e27fffffffff,12.0,0.0,0.0,0.0,0.0
821e37fffffffff,3.0,0.0,0.0,0.0,0.0
821e5ffffffffff,3.0,0.0,0.0,0.0,0.0
821ea7fffffffff,16.0,2.0,0.0,0.0,0.0
821eaffffffffff,1.0,0.0,0.0,0.0,0.0
821eb7fffffffff,4.0,2.0,0.0,0.0,0.0
821ec7fffffffff,2.0,0.0,0.0,0.0,0.0
821ecffffffffff,10.0,2.0,0.0,0.0,0.0
821ed7fffffffff,1.0,0.0,0.0,0.0,0.0
