cell_id,Glareola nuchalis,Glareola nuchalis liberiae,Glareola nuchalis nuchalis
8254e7fffffffff,1.0,0.0,0.0
8254effffffffff,10.0,0.0,0.0
825887fffffffff,4.0,0.0,0.0
825897fffffffff,24.0,0.0,0.0
8258b7fffffffff,1.0,0.0,0.0
8258d7fffffffff,10.0,0.0,0.0
826a17fffffffff,1.0,0.0,0.0
826ac7fffffffff,3.0,0.0,0.0
826acffffffffff,24.0,0.0,4.0
826aeffffffffff,432.0,0.0,62.0
82750ffffffffff,175.0,40.0,0.0
827517fffffffff,1.0,0.0,0.0
82751ffffffffff,1.0,0.0,0.0
82752ffffffffff,2.0,2.0,0.0
827587fffffffff,1.0,0.0,0.0
8275affffffffff,1.0,0.0,0.0
8275b7fffffffff,3.0,0.0,0.0
827a4ffffffffff,34.0,0.0,0.0
8282a7fffffffff,2.0,0.0,0.0
8282affffffffff,21.0,0.0,1.0
8282d7fffffffff,8.0,0.0,0.0
8282f7fffffffff,6.0,0.0,0.0
828317fffffffff,3.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0
82961ffffffffff,2.0,0.0,0.0
829627fffffffff,5.0,0.0,3.0
82962ffffffffff,20.0,0.0,2.0
8296dffffffffff,1.0,0.0,0.0
829747fffffffff,1.0,0.0,0.0
82974ffffffffff,70.0,0.0,17.0
829757fffffffff,320.0,0.0,45.0
82975ffffffffff,50.0,0.0,1.0
8297affffffffff,6.0,0.0,0.0
