cell_id,Sciaphylax hemimelaena,Sciaphylax hemimelaena hemimelaena,Sciaphylax hemimelaena pallens
838a00fffffffff,3.0,0.0,0.0
838a01fffffffff,4.0,0.0,0.0
838a04fffffffff,6.0,0.0,6.0
838a05fffffffff,27.0,0.0,8.0
838a10fffffffff,1.0,0.0,0.0
838a15fffffffff,2.0,0.0,0.0
838a1efffffffff,2.0,0.0,0.0
838a21fffffffff,21.0,0.0,10.0
838a23fffffffff,4.0,0.0,3.0
838a24fffffffff,3.0,0.0,3.0
838a2cfffffffff,3.0,0.0,0.0
838a31fffffffff,23.0,0.0,17.0
838a33fffffffff,3.0,0.0,2.0
838a45fffffffff,2.0,0.0,0.0
838a63fffffffff,24.0,0.0,0.0
838a68fffffffff,1.0,0.0,0.0
838a6dfffffffff,46.0,0.0,0.0
838a70fffffffff,4.0,0.0,0.0
838a80fffffffff,7.0,0.0,0.0
838a82fffffffff,4.0,0.0,0.0
838a91fffffffff,2.0,0.0,0.0
838a92fffffffff,2.0,0.0,0.0
838a9cfffffffff,16.0,0.0,0.0
838aadfffffffff,4.0,0.0,0.0
838ab0fffffffff,1.0,0.0,0.0
838ae5fffffffff,1.0,0.0,0.0
838b10fffffffff,2.0,0.0,1.0
838b11fffffffff,10.0,0.0,0.0
838b1afffffffff,1.0,0.0,1.0
838b1cfffffffff,2.0,0.0,0.0
838b1dfffffffff,11.0,0.0,0.0
838b1efffffffff,2.0,0.0,2.0
838b21fffffffff,19.0,0.0,0.0
838b22fffffffff,108.0,0.0,0.0
838b23fffffffff,13.0,0.0,0.0
838b2cfffffffff,40.0,0.0,0.0
838b2efffffffff,28.0,0.0,0.0
838b40fffffffff,227.0,2.0,0.0
838b42fffffffff,41.0,0.0,0.0
838b43fffffffff,1.0,0.0,0.0
838b44fffffffff,554.0,8.0,0.0
838b45fffffffff,9.0,0.0,0.0
838b46fffffffff,78.0,0.0,0.0
838b4afffffffff,1.0,0.0,0.0
838b4efffffffff,33.0,1.0,0.0
838b51fffffffff,75.0,5.0,0.0
838b52fffffffff,3.0,0.0,0.0
838b53fffffffff,2.0,0.0,0.0
838b55fffffffff,1.0,0.0,0.0
838b56fffffffff,4.0,0.0,0.0
838b5cfffffffff,112.0,43.0,0.0
838b5dfffffffff,4.0,0.0,0.0
838b5efffffffff,2.0,0.0,0.0
838b61fffffffff,615.0,21.0,0.0
838b62fffffffff,74.0,2.0,0.0
838b63fffffffff,337.0,19.0,0.0
838b68fffffffff,8.0,0.0,0.0
838b69fffffffff,37.0,0.0,0.0
838b6cfffffffff,37.0,0.0,0.0
838b6dfffffffff,4.0,0.0,0.0
838b6efffffffff,134.0,0.0,0.0
838b70fffffffff,2.0,0.0,0.0
838b71fffffffff,392.0,5.0,0.0
838b74fffffffff,77.0,0.0,0.0
838b75fffffffff,45.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
838b83fffffffff,3.0,0.0,3.0
838b84fffffffff,48.0,0.0,20.0
838b88fffffffff,10.0,0.0,0.0
838b8afffffffff,1.0,0.0,0.0
838b8dfffffffff,2.0,0.0,2.0
838b99fffffffff,11.0,0.0,0.0
838b9cfffffffff,1.0,0.0,0.0
838b9dfffffffff,34.0,0.0,7.0
838e64fffffffff,22.0,0.0,0.0
838e65fffffffff,7.0,0.0,0.0
838f40fffffffff,192.0,5.0,0.0
838f42fffffffff,2.0,0.0,0.0
838f43fffffffff,24.0,0.0,0.0
838f46fffffffff,13.0,0.0,0.0
838f48fffffffff,48.0,0.0,0.0
838f49fffffffff,2.0,0.0,0.0
838f4afffffffff,8.0,0.0,0.0
838f4bfffffffff,13.0,0.0,0.0
838f4dfffffffff,1.0,0.0,0.0
838f61fffffffff,1.0,0.0,0.0
838f6bfffffffff,19.0,6.0,0.0
838f6efffffffff,5.0,0.0,0.0
83b324fffffffff,12.0,0.0,0.0
83b325fffffffff,4.0,0.0,0.0
