cell_id,Camarhynchus pallidus,Camarhynchus pallidus pallidus/productus,Camarhynchus pallidus striatipecta
836c5bfffffffff,10.0,8.0,0.0
838fa4fffffffff,4.0,0.0,4.0
838fa6fffffffff,4.0,0.0,0.0
