cell_id,Progne tapera,Progne tapera tapera,Progne tapera fusca
825f07fffffffff,2.0,0.0,0.0
825f0ffffffffff,25.0,0.0,0.0
825f17fffffffff,69.0,0.0,0.0
825f1ffffffffff,42.0,0.0,0.0
825f2ffffffffff,308.0,0.0,0.0
825f47fffffffff,28.0,0.0,0.0
825f4ffffffffff,35.0,0.0,0.0
825f57fffffffff,2.0,0.0,0.0
825f5ffffffffff,1.0,0.0,0.0
825f6ffffffffff,13.0,0.0,0.0
825f77fffffffff,13.0,0.0,0.0
826607fffffffff,443.0,0.0,0.0
82660ffffffffff,840.0,2.0,0.0
826617fffffffff,125.0,0.0,0.0
82661ffffffffff,277.0,6.0,2.0
826627fffffffff,556.0,16.0,0.0
82662ffffffffff,139.0,0.0,4.0
826637fffffffff,141.0,0.0,0.0
826647fffffffff,123.0,0.0,0.0
82664ffffffffff,7.0,0.0,0.0
826657fffffffff,457.0,0.0,0.0
82665ffffffffff,73.0,0.0,0.0
826667fffffffff,57.0,3.0,0.0
82666ffffffffff,7.0,0.0,0.0
826677fffffffff,119.0,0.0,0.0
8266a7fffffffff,7.0,0.0,0.0
8266b7fffffffff,2.0,0.0,0.0
8266c7fffffffff,419.0,2.0,0.0
8266cffffffffff,77.0,0.0,0.0
8266d7fffffffff,48.0,0.0,0.0
8266dffffffffff,709.0,12.0,11.0
8266e7fffffffff,1269.0,1.0,2.0
8266effffffffff,213.0,0.0,0.0
8266f7fffffffff,156.0,0.0,9.0
826747fffffffff,160.0,2.0,10.0
82674ffffffffff,130.0,1.0,0.0
826757fffffffff,271.0,0.0,7.0
82675ffffffffff,103.0,0.0,0.0
82676ffffffffff,1.0,0.0,0.0
826787fffffffff,2.0,0.0,0.0
828007fffffffff,1.0,0.0,0.0
82800ffffffffff,6.0,0.0,0.0
828017fffffffff,69.0,0.0,0.0
828037fffffffff,12.0,0.0,0.0
828047fffffffff,49.0,0.0,0.0
82804ffffffffff,12.0,0.0,0.0
828057fffffffff,8.0,0.0,0.0
828067fffffffff,2.0,0.0,0.0
82806ffffffffff,15.0,0.0,0.0
828077fffffffff,8.0,0.0,0.0
8280a7fffffffff,1.0,0.0,0.0
828107fffffffff,123.0,0.0,1.0
82810ffffffffff,3.0,0.0,0.0
828117fffffffff,43.0,0.0,0.0
82811ffffffffff,1.0,0.0,0.0
828127fffffffff,21.0,0.0,0.0
82812ffffffffff,4.0,0.0,0.0
828137fffffffff,270.0,6.0,0.0
828147fffffffff,8.0,0.0,0.0
82814ffffffffff,6.0,0.0,0.0
82815ffffffffff,5.0,0.0,0.0
828167fffffffff,66.0,0.0,0.0
828177fffffffff,11.0,2.0,0.0
828187fffffffff,99.0,0.0,0.0
82818ffffffffff,5.0,0.0,0.0
82819ffffffffff,2.0,0.0,0.0
8281a7fffffffff,7.0,0.0,0.0
8281affffffffff,16.0,0.0,3.0
828a07fffffffff,22.0,0.0,0.0
828a17fffffffff,46.0,0.0,0.0
828a1ffffffffff,7.0,0.0,0.0
828a27fffffffff,9.0,0.0,0.0
828a2ffffffffff,2.0,0.0,0.0
828a37fffffffff,15.0,0.0,2.0
828a47fffffffff,251.0,0.0,0.0
828a4ffffffffff,1.0,0.0,0.0
828a57fffffffff,21.0,0.0,0.0
828a6ffffffffff,771.0,26.0,0.0
828a77fffffffff,47.0,0.0,0.0
828a87fffffffff,41.0,0.0,0.0
828a8ffffffffff,32.0,0.0,0.0
828a97fffffffff,11.0,0.0,0.0
828a9ffffffffff,15.0,0.0,0.0
828aaffffffffff,120.0,0.0,0.0
828ac7fffffffff,3.0,0.0,0.0
828adffffffffff,48.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0
828af7fffffffff,615.0,0.0,0.0
828b07fffffffff,20.0,0.0,0.0
828b0ffffffffff,223.0,0.0,0.0
828b17fffffffff,18.0,0.0,0.0
828b1ffffffffff,12.0,0.0,0.0
828b27fffffffff,311.0,0.0,0.0
828b2ffffffffff,201.0,0.0,0.0
828b37fffffffff,29.0,0.0,0.0
828b47fffffffff,533.0,32.0,0.0
828b4ffffffffff,5.0,0.0,0.0
828b57fffffffff,24.0,0.0,0.0
828b5ffffffffff,16.0,0.0,4.0
828b67fffffffff,356.0,14.0,0.0
828b6ffffffffff,115.0,4.0,0.0
828b77fffffffff,67.0,0.0,0.0
828b87fffffffff,18.0,0.0,0.0
828b8ffffffffff,3.0,0.0,0.0
828b9ffffffffff,77.0,2.0,0.0
828ba7fffffffff,118.0,0.0,0.0
828bb7fffffffff,209.0,4.0,4.0
828e67fffffffff,12.0,0.0,0.0
828f0ffffffffff,78.0,2.0,0.0
828f27fffffffff,1.0,0.0,0.0
828f2ffffffffff,182.0,24.0,0.0
828f47fffffffff,148.0,24.0,0.0
828f4ffffffffff,96.0,0.0,3.0
828f57fffffffff,54.0,0.0,0.0
828f5ffffffffff,6.0,0.0,0.0
828f67fffffffff,123.0,1.0,4.0
828f6ffffffffff,114.0,5.0,0.0
828f77fffffffff,24.0,0.0,0.0
82a597fffffffff,101.0,0.0,0.0
82a807fffffffff,203.0,2.0,2.0
82a80ffffffffff,46.0,0.0,0.0
82a817fffffffff,1246.0,0.0,49.0
82a81ffffffffff,1400.0,0.0,9.0
82a827fffffffff,117.0,0.0,0.0
82a82ffffffffff,94.0,0.0,0.0
82a837fffffffff,372.0,2.0,1.0
82a847fffffffff,684.0,0.0,0.0
82a84ffffffffff,9.0,0.0,4.0
82a857fffffffff,227.0,0.0,7.0
82a85ffffffffff,2037.0,16.0,41.0
82a867fffffffff,83.0,0.0,3.0
82a86ffffffffff,41.0,0.0,0.0
82a877fffffffff,88.0,0.0,0.0
82a887fffffffff,230.0,0.0,11.0
82a88ffffffffff,164.0,0.0,0.0
82a897fffffffff,125.0,5.0,3.0
82a89ffffffffff,15.0,0.0,0.0
82a8a7fffffffff,604.0,12.0,14.0
82a8affffffffff,183.0,0.0,0.0
82a8b7fffffffff,20.0,0.0,0.0
82a8c7fffffffff,151.0,4.0,9.0
82a8cffffffffff,8.0,1.0,0.0
82a8d7fffffffff,203.0,0.0,0.0
82a8dffffffffff,27.0,1.0,0.0
82a8e7fffffffff,12.0,0.0,1.0
82a8effffffffff,21.0,2.0,11.0
82a8f7fffffffff,16.0,0.0,0.0
82a907fffffffff,454.0,0.0,43.0
82a90ffffffffff,243.0,0.0,5.0
82a91ffffffffff,253.0,0.0,9.0
82a927fffffffff,41.0,0.0,1.0
82a92ffffffffff,1035.0,0.0,15.0
82a947fffffffff,2130.0,0.0,5.0
82a94ffffffffff,1075.0,0.0,18.0
82a957fffffffff,431.0,2.0,1.0
82a95ffffffffff,278.0,0.0,9.0
82a967fffffffff,1148.0,0.0,4.0
82a96ffffffffff,914.0,0.0,0.0
82a977fffffffff,336.0,0.0,0.0
82b20ffffffffff,12.0,0.0,0.0
82b247fffffffff,804.0,0.0,0.0
82b24ffffffffff,814.0,0.0,0.0
82b257fffffffff,69.0,0.0,0.0
82b25ffffffffff,1324.0,0.0,0.0
82b267fffffffff,349.0,0.0,0.0
