cell_id,Peucaea botterii,Peucaea botterii [botterii Group],Peucaea botterii [petenica Group]
824507fffffffff,2.0,0.0,2.0
82450ffffffffff,221.0,0.0,56.0
82452ffffffffff,760.0,0.0,126.0
824577fffffffff,6.0,0.0,2.0
82480ffffffffff,12.0,0.0,0.0
824817fffffffff,7.0,0.0,0.0
824837fffffffff,10.0,0.0,0.0
824857fffffffff,7.0,0.0,0.0
824887fffffffff,2.0,0.0,0.0
824897fffffffff,21.0,0.0,0.0
8248a7fffffffff,115.0,0.0,0.0
8248affffffffff,1.0,0.0,0.0
8248b7fffffffff,851.0,0.0,0.0
8248c7fffffffff,953.0,0.0,0.0
8248e7fffffffff,40.0,0.0,0.0
8248effffffffff,8543.0,0.0,0.0
824987fffffffff,67.0,0.0,0.0
82498ffffffffff,11.0,0.0,0.0
824997fffffffff,650.0,28.0,0.0
82499ffffffffff,1.0,0.0,0.0
8249affffffffff,90.0,0.0,0.0
8249b7fffffffff,14.0,0.0,0.0
826797fffffffff,3.0,0.0,0.0
826d27fffffffff,41.0,0.0,0.0
826d2ffffffffff,26.0,0.0,0.0
826d37fffffffff,271.0,4.0,0.0
826d6ffffffffff,44.0,0.0,0.0
