cell_id,Troglodytes troglodytes,Troglodytes troglodytes islandicus,Troglodytes troglodytes borealis,Troglodytes troglodytes zetlandicus,Troglodytes troglodytes hebridensis,Troglodytes troglodytes fridariensis,Troglodytes troglodytes hirtensis,Troglodytes troglodytes indigenus,Troglodytes troglodytes [troglodytes Group]
8407455ffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8407461ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408829ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
840882dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
8408867ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
84089b1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8409805ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840982bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8415929ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418019ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8418059ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8418235ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84182a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
84182a3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84182c3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84182c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
84182c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
84182e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
841846dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418491ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8418493ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8418495ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418497ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
84184b1ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
84184b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
84184b7ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b9ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
84184bbffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184bdffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
8418593ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8418597ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
84185b1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84185b3ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
84185b7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84185bbffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
8418729ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418747ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419099ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
84190e5ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
84191d9ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
841926dffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8419413ffffffff,358.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0
8419417ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
8419423ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
8419427ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84194a5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84194adffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
84194c5ffffffff,99.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0
84194e1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
84194e9ffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
84194ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84194edffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0
8419563ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8419591ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
84195c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84195d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419725ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
841e019ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e049ffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
841e0b3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
841e0b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
841e15bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e1b1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e1b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e2e7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e32bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e351ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
