cell_id,Cochlearius cochlearius,Cochlearius cochlearius [zeledoni Group],Cochlearius cochlearius cochlearius/panamensis
834424fffffffff,2.0,0.0,0.0
834501fffffffff,17.0,0.0,0.0
834505fffffffff,2.0,0.0,0.0
83450bfffffffff,1.0,1.0,0.0
834521fffffffff,1.0,0.0,0.0
834523fffffffff,4.0,4.0,0.0
834528fffffffff,1.0,0.0,0.0
83452afffffffff,19.0,0.0,0.0
83452cfffffffff,1.0,0.0,0.0
83452dfffffffff,2.0,0.0,0.0
83452efffffffff,30.0,2.0,0.0
834836fffffffff,15.0,0.0,0.0
8348b5fffffffff,6.0,0.0,0.0
834996fffffffff,13.0,0.0,0.0
834998fffffffff,3.0,0.0,0.0
835f58fffffffff,162.0,0.0,0.0
836606fffffffff,57.0,0.0,0.0
83660afffffffff,3.0,0.0,0.0
83660efffffffff,6.0,0.0,0.0
836610fffffffff,25.0,0.0,3.0
836613fffffffff,10.0,0.0,0.0
836616fffffffff,2.0,0.0,0.0
836618fffffffff,1.0,0.0,0.0
836619fffffffff,4.0,0.0,0.0
836654fffffffff,3.0,0.0,0.0
836656fffffffff,1.0,0.0,0.0
8366a0fffffffff,7.0,0.0,0.0
8366a5fffffffff,4.0,0.0,0.0
8366b0fffffffff,2.0,0.0,0.0
8366b4fffffffff,29.0,0.0,0.0
8366b5fffffffff,29.0,0.0,0.0
8366c5fffffffff,7.0,0.0,0.0
8366dcfffffffff,1.0,0.0,0.0
8366e0fffffffff,5.0,0.0,0.0
836743fffffffff,3.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
83675afffffffff,1.0,0.0,1.0
83679afffffffff,2.0,0.0,0.0
836d05fffffffff,5.0,0.0,0.0
836d14fffffffff,2.0,0.0,0.0
836d15fffffffff,2.0,0.0,0.0
836d20fffffffff,6.0,0.0,0.0
836d21fffffffff,1.0,0.0,0.0
836d24fffffffff,2.0,0.0,0.0
836d2afffffffff,1.0,0.0,0.0
836d2bfffffffff,2.0,0.0,0.0
836d2dfffffffff,2.0,0.0,0.0
836d34fffffffff,8.0,0.0,0.0
836d63fffffffff,3.0,0.0,0.0
836d64fffffffff,7.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0
836d69fffffffff,19.0,0.0,1.0
836d74fffffffff,1.0,0.0,0.0
836d76fffffffff,2.0,0.0,0.0
838ad1fffffffff,2.0,0.0,0.0
838b71fffffffff,2.0,0.0,0.0
838f48fffffffff,6.0,0.0,0.0
838f4bfffffffff,2.0,0.0,0.0
83a810fffffffff,19.0,0.0,0.0
83a814fffffffff,5.0,0.0,0.0
83a941fffffffff,2.0,0.0,0.0
83a94cfffffffff,41.0,0.0,0.0
83a953fffffffff,4.0,0.0,0.0
83a96afffffffff,3.0,0.0,0.0
