cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
83209afffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
8329a5fffffffff,17.0,0.0,1.0,0.0,0.0,0.0,0.0
832e74fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
832f5afffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
833083fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83308efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
833098fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833099fffffffff,9.0,0.0,4.0,0.0,0.0,0.0,0.0
83309afffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83309bfffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
83309dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
833126fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
833134fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
833c19fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
833c1bfffffffff,11.0,11.0,0.0,0.0,0.0,0.0,0.0
833c1dfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833c36fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
833c52fffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
833c58fffffffff,75.0,75.0,0.0,0.0,0.0,0.0,0.0
833c5afffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
833c5bfffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0
833c5efffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833c83fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833c84fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
833c88fffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
833c8cfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833c8dfffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
833ca8fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
833ca9fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833cacfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833cadfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833ce8fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
833ceefffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
833cf0fffffffff,20.0,20.0,0.0,0.0,0.0,0.0,0.0
833cf2fffffffff,28.0,28.0,0.0,0.0,0.0,0.0,0.0
833cf4fffffffff,9.0,9.0,0.0,0.0,0.0,0.0,0.0
833d10fffffffff,22.0,22.0,0.0,0.0,0.0,0.0,0.0
833d13fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833d84fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833d8dfffffffff,57.0,57.0,0.0,0.0,0.0,0.0,0.0
833d90fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833d9bfffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
833da0fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833da1fffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0
833da3fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
833da9fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833dadfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
834001fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
83404cfffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
