cell_id,Picoides tridactylus,Picoides tridactylus [tridactylus Group],Picoides tridactylus funebris
840134bffffffff,1.0,0.0,0.0
8404c65ffffffff,1.0,0.0,0.0
840802dffffffff,1.0,0.0,0.0
8408107ffffffff,2.0,0.0,0.0
840811dffffffff,1.0,0.0,0.0
8408123ffffffff,3.0,0.0,0.0
8408129ffffffff,2.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0
840814dffffffff,2.0,0.0,0.0
8408151ffffffff,1.0,0.0,0.0
8408193ffffffff,5.0,0.0,0.0
840819dffffffff,1.0,0.0,0.0
84081e1ffffffff,2.0,0.0,0.0
84081ebffffffff,2.0,0.0,0.0
8408295ffffffff,1.0,0.0,0.0
840880dffffffff,2.0,0.0,0.0
8408845ffffffff,2.0,0.0,0.0
8408847ffffffff,5.0,0.0,0.0
840884dffffffff,6.0,0.0,0.0
8408855ffffffff,2.0,0.0,0.0
8408863ffffffff,2.0,0.0,0.0
8408867ffffffff,2.0,0.0,0.0
8408889ffffffff,4.0,0.0,0.0
840888dffffffff,2.0,0.0,0.0
84088adffffffff,1.0,0.0,0.0
8408993ffffffff,2.0,0.0,0.0
8408995ffffffff,2.0,0.0,0.0
8408997ffffffff,5.0,2.0,0.0
84089abffffffff,4.0,0.0,0.0
84089b5ffffffff,1.0,0.0,0.0
84089d1ffffffff,1.0,0.0,0.0
84089d3ffffffff,4.0,0.0,0.0
8408a15ffffffff,1.0,0.0,0.0
8408a3dffffffff,1.0,0.0,0.0
8408a41ffffffff,1.0,0.0,0.0
8408a43ffffffff,2.0,0.0,0.0
8408a4dffffffff,2.0,0.0,0.0
8408a53ffffffff,3.0,0.0,0.0
8408a69ffffffff,1.0,0.0,0.0
8408a8dffffffff,2.0,0.0,0.0
8408a97ffffffff,3.0,0.0,0.0
8408acbffffffff,2.0,0.0,0.0
8408ae1ffffffff,1.0,0.0,0.0
8408ae3ffffffff,1.0,0.0,0.0
8408b19ffffffff,1.0,0.0,0.0
8408b1dffffffff,5.0,0.0,0.0
8408c05ffffffff,1.0,0.0,0.0
8408c19ffffffff,7.0,2.0,0.0
8408c21ffffffff,2.0,0.0,0.0
8408c49ffffffff,1.0,0.0,0.0
8408c69ffffffff,1.0,0.0,0.0
8408c85ffffffff,2.0,0.0,0.0
8408c8dffffffff,3.0,1.0,0.0
8408c95ffffffff,3.0,0.0,0.0
8408cd7ffffffff,2.0,0.0,0.0
8408ce5ffffffff,2.0,0.0,0.0
8408d11ffffffff,6.0,0.0,0.0
8408d15ffffffff,2.0,1.0,0.0
8408d19ffffffff,13.0,0.0,0.0
8408d1bffffffff,2.0,0.0,0.0
8408d49ffffffff,2.0,0.0,0.0
8408d51ffffffff,3.0,0.0,0.0
8408d55ffffffff,6.0,0.0,0.0
8408d57ffffffff,8.0,0.0,0.0
8408d83ffffffff,4.0,0.0,0.0
8408d85ffffffff,8.0,0.0,0.0
8408d89ffffffff,4.0,0.0,0.0
8408d8bffffffff,14.0,2.0,0.0
8408e13ffffffff,3.0,0.0,0.0
8408e31ffffffff,1.0,0.0,0.0
8408e35ffffffff,2.0,0.0,0.0
8408e4dffffffff,2.0,0.0,0.0
8408ea7ffffffff,4.0,0.0,0.0
8408ec1ffffffff,2.0,0.0,0.0
8408ed3ffffffff,2.0,0.0,0.0
8408ee1ffffffff,1.0,0.0,0.0
8408f01ffffffff,2.0,0.0,0.0
8408f0dffffffff,1.0,0.0,0.0
8408f29ffffffff,5.0,0.0,0.0
8408f2dffffffff,2.0,0.0,0.0
8408f5bffffffff,2.0,0.0,0.0
8408f63ffffffff,1.0,0.0,0.0
8408f6bffffffff,1.0,0.0,0.0
8408f6dffffffff,1.0,0.0,0.0
840991bffffffff,4.0,0.0,0.0
8409991ffffffff,1.0,0.0,0.0
8409993ffffffff,24.0,0.0,0.0
840a337ffffffff,1.0,0.0,0.0
840a911ffffffff,2.0,0.0,0.0
8410141ffffffff,1.0,0.0,0.0
8410acbffffffff,2.0,0.0,0.0
8410c23ffffffff,2.0,0.0,0.0
8410ee1ffffffff,1.0,0.0,0.0
8411045ffffffff,4.0,0.0,0.0
841106bffffffff,1.0,0.0,0.0
84110d5ffffffff,1.0,0.0,0.0
841115bffffffff,1.0,0.0,0.0
8411235ffffffff,1.0,0.0,0.0
8411249ffffffff,2.0,0.0,0.0
841124dffffffff,1.0,0.0,0.0
8411251ffffffff,3.0,0.0,0.0
8411261ffffffff,2.0,0.0,0.0
8411269ffffffff,3.0,0.0,0.0
841126bffffffff,3.0,0.0,0.0
841126dffffffff,1.0,0.0,0.0
8411285ffffffff,3.0,0.0,0.0
84112adffffffff,2.0,2.0,0.0
84112c5ffffffff,1.0,0.0,0.0
84112d1ffffffff,2.0,0.0,0.0
84112d7ffffffff,3.0,1.0,0.0
84112e3ffffffff,3.0,2.0,0.0
8411345ffffffff,2.0,0.0,0.0
841134dffffffff,2.0,0.0,0.0
841136bffffffff,2.0,0.0,0.0
8411665ffffffff,2.0,0.0,0.0
8411aa1ffffffff,24.0,0.0,0.0
8411aa7ffffffff,3.0,0.0,0.0
8411aadffffffff,5.0,0.0,0.0
8411ae5ffffffff,2.0,0.0,0.0
8411ae7ffffffff,1.0,0.0,0.0
8415981ffffffff,1.0,1.0,0.0
8415983ffffffff,4.0,0.0,0.0
841598bffffffff,16.0,1.0,0.0
841599dffffffff,5.0,0.0,0.0
8416161ffffffff,18.0,0.0,0.0
841e013ffffffff,2.0,0.0,0.0
841e019ffffffff,15.0,0.0,0.0
841e01bffffffff,1.0,0.0,0.0
841e053ffffffff,16.0,0.0,0.0
841e055ffffffff,9.0,0.0,0.0
841e057ffffffff,6.0,0.0,0.0
841e0b5ffffffff,1.0,0.0,0.0
841e107ffffffff,3.0,0.0,0.0
841e10dffffffff,1.0,0.0,0.0
841e123ffffffff,3.0,0.0,0.0
841e127ffffffff,3.0,0.0,0.0
841e129ffffffff,6.0,0.0,0.0
841e12bffffffff,2.0,0.0,0.0
841e151ffffffff,2.0,0.0,0.0
841e167ffffffff,3.0,0.0,0.0
841e16dffffffff,2.0,0.0,0.0
841e2a5ffffffff,8.0,0.0,0.0
841e2b5ffffffff,1.0,0.0,0.0
841e2b7ffffffff,2.0,0.0,0.0
841e329ffffffff,4.0,2.0,0.0
841e32bffffffff,3.0,0.0,0.0
841e363ffffffff,1.0,0.0,0.0
841e50dffffffff,4.0,0.0,0.0
841e527ffffffff,2.0,0.0,0.0
841e529ffffffff,3.0,0.0,0.0
841eac3ffffffff,3.0,0.0,0.0
841ef63ffffffff,8.0,0.0,0.0
841f403ffffffff,3.0,0.0,0.0
841f425ffffffff,1.0,0.0,0.0
841f433ffffffff,2.0,0.0,0.0
841f4ebffffffff,2.0,0.0,0.0
841f51bffffffff,2.0,0.0,0.0
841f5c5ffffffff,70.0,0.0,0.0
841f5cdffffffff,2.0,0.0,0.0
841f5d1ffffffff,1.0,0.0,0.0
841f5e9ffffffff,13.0,0.0,0.0
841f5ebffffffff,4.0,0.0,0.0
841f611ffffffff,4.0,0.0,0.0
841f61dffffffff,1.0,0.0,0.0
841f631ffffffff,2.0,0.0,0.0
841f659ffffffff,2.0,0.0,0.0
841f65dffffffff,3.0,0.0,0.0
841f6c5ffffffff,2.0,0.0,0.0
841f827ffffffff,3.0,3.0,0.0
841f833ffffffff,2.0,2.0,0.0
841f835ffffffff,3.0,0.0,0.0
841f837ffffffff,3.0,0.0,0.0
841f881ffffffff,15.0,7.0,0.0
841f883ffffffff,7.0,2.0,0.0
841f885ffffffff,1.0,0.0,0.0
841f887ffffffff,2.0,0.0,0.0
841f88bffffffff,2.0,0.0,0.0
841f88dffffffff,1.0,1.0,0.0
841f891ffffffff,8.0,0.0,0.0
841f897ffffffff,4.0,0.0,0.0
841f8a1ffffffff,4.0,0.0,0.0
841f8a9ffffffff,1.0,0.0,0.0
841f8abffffffff,3.0,0.0,0.0
841f8b1ffffffff,4.0,0.0,0.0
841f8e1ffffffff,1.0,0.0,0.0
841f8e5ffffffff,3.0,0.0,0.0
841f8e7ffffffff,2.0,0.0,0.0
