cell_id,Oceanites gracilis,Oceanites gracilis galapagoensis,Oceanites gracilis gracilis
836c53fffffffff,1.0,0.0,0.0
836c58fffffffff,82.0,0.0,0.0
836c59fffffffff,1775.0,0.0,0.0
836c5afffffffff,770.0,0.0,0.0
836c5bfffffffff,1352.0,0.0,0.0
836c5dfffffffff,197.0,0.0,0.0
838e25fffffffff,6.0,0.0,0.0
838e29fffffffff,2.0,0.0,0.0
838e2cfffffffff,7.0,0.0,0.0
838e2dfffffffff,2.0,0.0,0.0
838e40fffffffff,2.0,0.0,0.0
838e41fffffffff,5.0,0.0,0.0
838e42fffffffff,2.0,0.0,0.0
838e44fffffffff,29.0,0.0,0.0
838e45fffffffff,14.0,0.0,0.0
838e48fffffffff,1.0,0.0,0.0
838e4cfffffffff,26.0,0.0,0.0
838e4dfffffffff,3.0,0.0,0.0
838e4efffffffff,3.0,0.0,0.0
838e62fffffffff,264.0,0.0,0.0
838e71fffffffff,2.0,0.0,0.0
838e74fffffffff,10.0,0.0,0.0
838e75fffffffff,78.0,0.0,0.0
838f01fffffffff,3.0,0.0,0.0
838f08fffffffff,3.0,0.0,0.0
838f0bfffffffff,6.0,0.0,0.0
838f0cfffffffff,1.0,0.0,0.0
838f2afffffffff,17.0,0.0,0.0
838f2efffffffff,1.0,0.0,0.0
838f50fffffffff,1.0,0.0,0.0
838f52fffffffff,8.0,0.0,0.0
838f5afffffffff,5.0,0.0,0.0
838f5efffffffff,2.0,0.0,0.0
838fa4fffffffff,89.0,0.0,0.0
838fa6fffffffff,969.0,0.0,0.0
838fb4fffffffff,10.0,0.0,0.0
83b204fffffffff,4.0,0.0,0.0
83b218fffffffff,8.0,0.0,0.0
83b21dfffffffff,1.0,0.0,0.0
83b222fffffffff,3.0,0.0,0.0
83b226fffffffff,45.0,0.0,0.0
83b300fffffffff,12.0,0.0,0.0
83b303fffffffff,26.0,0.0,0.0
83b304fffffffff,438.0,0.0,0.0
83b306fffffffff,10.0,0.0,0.0
83b319fffffffff,61.0,0.0,0.0
83b31dfffffffff,7.0,0.0,0.0
83b330fffffffff,17.0,0.0,0.0
83b331fffffffff,3.0,0.0,0.0
83b332fffffffff,5.0,0.0,0.0
83b333fffffffff,1.0,0.0,0.0
83b336fffffffff,2.0,0.0,0.0
