cell_id,Agelaius phoeniceus,Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus gubernator
840c623ffffffff,1.0,0.0,0.0,0.0
840c639ffffffff,2.0,0.0,0.0,0.0
840c63dffffffff,21.0,0.0,0.0,0.0
840c641ffffffff,2.0,0.0,0.0,0.0
840c647ffffffff,2.0,0.0,0.0,0.0
840c64bffffffff,22.0,0.0,0.0,0.0
840c65bffffffff,3.0,0.0,0.0,0.0
840c65dffffffff,23.0,0.0,0.0,0.0
840c733ffffffff,164.0,0.0,0.0,0.0
840c73bffffffff,46.0,0.0,0.0,0.0
840c753ffffffff,1.0,0.0,0.0,0.0
840d499ffffffff,1.0,0.0,0.0,0.0
840d49bffffffff,1.0,0.0,0.0,0.0
840d585ffffffff,2.0,0.0,0.0,0.0
840d5a9ffffffff,10.0,0.0,0.0,0.0
840d5e7ffffffff,6.0,0.0,0.0,0.0
840d605ffffffff,3.0,0.0,0.0,0.0
840e487ffffffff,1.0,0.0,0.0,0.0
840e491ffffffff,66.0,0.0,0.0,0.0
840e493ffffffff,108.0,0.0,0.0,0.0
840e497ffffffff,159.0,0.0,0.0,0.0
840e499ffffffff,19.0,0.0,0.0,0.0
840e49bffffffff,118.0,0.0,0.0,0.0
840e4b3ffffffff,24.0,0.0,0.0,0.0
840e4d1ffffffff,10.0,0.0,0.0,0.0
840e4d3ffffffff,30.0,0.0,0.0,0.0
840e4dbffffffff,676.0,0.0,0.0,0.0
840e5a5ffffffff,1.0,0.0,0.0,0.0
840e5adffffffff,1.0,0.0,0.0,0.0
840e5b3ffffffff,25.0,0.0,0.0,0.0
840e5b7ffffffff,2.0,0.0,0.0,0.0
840e805ffffffff,25.0,0.0,0.0,0.0
840e9a1ffffffff,4.0,0.0,0.0,0.0
840e9a7ffffffff,13.0,0.0,0.0,0.0
840ec0bffffffff,2.0,0.0,0.0,0.0
840ec19ffffffff,102.0,2.0,0.0,0.0
840ec2dffffffff,4.0,0.0,0.0,0.0
840ec57ffffffff,5.0,0.0,0.0,0.0
840ec81ffffffff,3.0,0.0,0.0,0.0
840ec85ffffffff,6.0,0.0,0.0,0.0
840ec91ffffffff,13.0,0.0,0.0,0.0
840ec95ffffffff,94.0,11.0,0.0,0.0
840ec97ffffffff,35.0,3.0,0.0,0.0
840ec9bffffffff,14.0,0.0,0.0,0.0
