cell_id,Prioniturus discurus,Prioniturus discurus whiteheadi,Prioniturus discurus discurus
826847fffffffff,43.0,0.0,7.0
82684ffffffffff,143.0,0.0,24.0
826857fffffffff,31.0,0.0,6.0
82685ffffffffff,58.0,0.0,17.0
826867fffffffff,1.0,0.0,0.0
82686ffffffffff,3.0,0.0,0.0
826877fffffffff,85.0,4.0,0.0
82695ffffffffff,12.0,0.0,0.0
