cell_id,Cardinalis cardinalis,Cardinalis cardinalis [cardinalis Group],Cardinalis cardinalis carneus
820e4ffffffffff,5.0,0.0,0.0
820ecffffffffff,7.0,0.0,0.0
82124ffffffffff,2.0,0.0,0.0
821257fffffffff,13.0,0.0,0.0
82125ffffffffff,3.0,0.0,0.0
8212dffffffffff,51.0,0.0,0.0
8212effffffffff,33.0,0.0,0.0
821aa7fffffffff,8.0,0.0,0.0
821b9ffffffffff,8.0,0.0,0.0
822607fffffffff,3.0,2.0,0.0
82260ffffffffff,35.0,31.0,0.0
822617fffffffff,14.0,0.0,0.0
82261ffffffffff,45.0,45.0,0.0
822627fffffffff,12.0,0.0,0.0
82262ffffffffff,9.0,3.0,0.0
822637fffffffff,4.0,0.0,0.0
822647fffffffff,66.0,1.0,0.0
82264ffffffffff,145.0,97.0,0.0
822657fffffffff,47.0,2.0,0.0
82265ffffffffff,21.0,6.0,0.0
822667fffffffff,20.0,2.0,0.0
82266ffffffffff,13.0,0.0,0.0
822677fffffffff,7.0,3.0,0.0
822687fffffffff,48.0,0.0,0.0
82268ffffffffff,50.0,0.0,0.0
82269ffffffffff,6.0,0.0,0.0
8226a7fffffffff,12.0,0.0,0.0
8226affffffffff,72.0,1.0,0.0
8226c7fffffffff,5.0,0.0,0.0
8226cffffffffff,2.0,0.0,0.0
8226d7fffffffff,29.0,0.0,0.0
8226dffffffffff,5.0,2.0,0.0
8226e7fffffffff,56.0,0.0,0.0
8226effffffffff,16.0,0.0,0.0
8226f7fffffffff,78.0,0.0,0.0
822707fffffffff,38.0,1.0,0.0
82270ffffffffff,10.0,0.0,0.0
82271ffffffffff,3.0,0.0,0.0
822747fffffffff,85.0,0.0,0.0
82274ffffffffff,2579.0,2.0,0.0
822757fffffffff,10.0,0.0,0.0
82275ffffffffff,80.0,2.0,0.0
822767fffffffff,11.0,2.0,0.0
82276ffffffffff,344.0,302.0,0.0
822777fffffffff,81.0,0.0,0.0
82278ffffffffff,1.0,0.0,0.0
8227affffffffff,2.0,0.0,0.0
82289ffffffffff,2.0,0.0,0.0
822987fffffffff,1.0,0.0,0.0
8229a7fffffffff,19.0,0.0,0.0
8229b7fffffffff,146.0,0.0,0.0
822a07fffffffff,20.0,0.0,0.0
822a17fffffffff,20657.0,94.0,0.0
822a37fffffffff,267.0,14.0,0.0
822a87fffffffff,21.0,13.0,0.0
822a8ffffffffff,16.0,2.0,0.0
822a97fffffffff,6.0,0.0,0.0
822a9ffffffffff,2.0,0.0,0.0
822aa7fffffffff,67.0,26.0,0.0
822aaffffffffff,2291.0,128.0,0.0
822ab7fffffffff,3771.0,2751.0,0.0
822ad7fffffffff,3.0,0.0,0.0
822af7fffffffff,16.0,0.0,0.0
822b07fffffffff,24.0,0.0,0.0
822b0ffffffffff,31.0,0.0,0.0
822b17fffffffff,132.0,0.0,0.0
822b1ffffffffff,73.0,0.0,0.0
822b27fffffffff,39.0,0.0,0.0
822b2ffffffffff,7.0,0.0,0.0
822b37fffffffff,65.0,0.0,0.0
822b87fffffffff,137.0,72.0,0.0
822b8ffffffffff,1847.0,1007.0,0.0
822b97fffffffff,156.0,0.0,0.0
822b9ffffffffff,2347.0,1991.0,0.0
822ba7fffffffff,523.0,1.0,0.0
822baffffffffff,317.0,168.0,0.0
822bb7fffffffff,72.0,0.0,0.0
824417fffffffff,15.0,5.0,0.0
82441ffffffffff,70.0,53.0,0.0
824447fffffffff,24.0,0.0,0.0
82444ffffffffff,21.0,0.0,0.0
824457fffffffff,1.0,0.0,0.0
82445ffffffffff,5.0,0.0,0.0
824467fffffffff,2.0,0.0,0.0
82446ffffffffff,14.0,1.0,0.0
824477fffffffff,1.0,0.0,0.0
8244a7fffffffff,36.0,21.0,0.0
8244affffffffff,33.0,25.0,0.0
8244c7fffffffff,8.0,1.0,0.0
8244cffffffffff,18.0,2.0,0.0
8244d7fffffffff,11.0,2.0,0.0
8244dffffffffff,8.0,2.0,0.0
8244e7fffffffff,6.0,0.0,0.0
8244effffffffff,11.0,0.0,0.0
8244f7fffffffff,281.0,263.0,0.0
82450ffffffffff,300.0,300.0,0.0
824517fffffffff,1.0,0.0,0.0
82452ffffffffff,26.0,0.0,0.0
824577fffffffff,212.0,212.0,0.0
82464ffffffffff,3.0,3.0,0.0
824807fffffffff,2.0,0.0,0.0
824827fffffffff,4.0,0.0,0.0
82482ffffffffff,5.0,0.0,0.0
824857fffffffff,3.0,0.0,0.0
82485ffffffffff,7.0,0.0,0.0
824887fffffffff,19.0,0.0,0.0
82488ffffffffff,3.0,0.0,0.0
824897fffffffff,23.0,2.0,0.0
82489ffffffffff,14.0,2.0,0.0
8248a7fffffffff,7.0,7.0,0.0
8248affffffffff,7.0,2.0,0.0
8248b7fffffffff,39.0,28.0,0.0
8248c7fffffffff,80.0,4.0,0.0
8248cffffffffff,113.0,0.0,0.0
8248d7fffffffff,31.0,0.0,0.0
8248dffffffffff,30.0,0.0,0.0
8248e7fffffffff,3.0,0.0,0.0
8248effffffffff,638.0,227.0,0.0
8248f7fffffffff,18.0,0.0,0.0
824997fffffffff,110.0,15.0,0.0
8249a7fffffffff,3.0,0.0,3.0
8249b7fffffffff,5.0,0.0,0.0
825d17fffffffff,12.0,0.0,0.0
826d07fffffffff,1.0,0.0,0.0
826d17fffffffff,4.0,0.0,4.0
826d37fffffffff,25.0,4.0,0.0
