cell_id,Pternistis afer,Pternistis afer cranchii/harterti,Pternistis afer [leucoparaeus Group],Pternistis afer afer,Pternistis afer castaneiventer
826a5ffffffffff,3.0,0.0,0.0,0.0,0.0
826ac7fffffffff,986.0,94.0,0.0,0.0,0.0
826acffffffffff,751.0,52.0,0.0,0.0,0.0
826adffffffffff,178.0,0.0,0.0,0.0,0.0
826aeffffffffff,66.0,0.0,0.0,0.0,0.0
827a4ffffffffff,1.0,0.0,0.0,0.0,0.0
827a6ffffffffff,912.0,0.0,0.0,0.0,0.0
827b4ffffffffff,3.0,0.0,0.0,0.0,0.0
827b6ffffffffff,15.0,0.0,0.0,0.0,0.0
828287fffffffff,1.0,0.0,0.0,0.0,0.0
8282a7fffffffff,8.0,0.0,0.0,0.0,0.0
8282e7fffffffff,10.0,0.0,0.0,0.0,0.0
828317fffffffff,13.0,0.0,0.0,1.0,0.0
82831ffffffffff,6.0,0.0,0.0,0.0,0.0
828327fffffffff,11.0,0.0,0.0,0.0,0.0
828337fffffffff,9.0,0.0,0.0,0.0,0.0
82839ffffffffff,26.0,0.0,0.0,0.0,0.0
8283a7fffffffff,4.0,0.0,0.0,0.0,0.0
8283affffffffff,5.0,0.0,0.0,1.0,0.0
829607fffffffff,28.0,4.0,0.0,0.0,0.0
82960ffffffffff,25.0,0.0,0.0,0.0,0.0
829617fffffffff,30.0,6.0,0.0,0.0,0.0
829627fffffffff,46.0,0.0,0.0,0.0,0.0
82962ffffffffff,183.0,10.0,0.0,0.0,0.0
829637fffffffff,108.0,14.0,0.0,0.0,0.0
829657fffffffff,1.0,0.0,0.0,0.0,0.0
829677fffffffff,13.0,0.0,0.0,0.0,0.0
829687fffffffff,4.0,0.0,0.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0,0.0,0.0
829697fffffffff,782.0,0.0,6.0,0.0,0.0
82969ffffffffff,6.0,0.0,0.0,0.0,0.0
8296a7fffffffff,36.0,0.0,0.0,0.0,0.0
8296affffffffff,10.0,0.0,0.0,0.0,0.0
8296b7fffffffff,331.0,0.0,0.0,0.0,0.0
829707fffffffff,68.0,0.0,1.0,0.0,0.0
829717fffffffff,310.0,0.0,0.0,0.0,0.0
82971ffffffffff,54.0,0.0,2.0,0.0,0.0
829727fffffffff,7.0,0.0,0.0,0.0,0.0
829737fffffffff,26.0,0.0,1.0,0.0,0.0
829757fffffffff,26.0,5.0,0.0,0.0,0.0
82975ffffffffff,2.0,0.0,0.0,0.0,0.0
829787fffffffff,4.0,0.0,0.0,0.0,0.0
82978ffffffffff,3.0,0.0,0.0,0.0,0.0
82979ffffffffff,2.0,0.0,0.0,0.0,0.0
8297affffffffff,48.0,0.0,0.0,0.0,0.0
82ac8ffffffffff,84.0,0.0,0.0,27.0,0.0
82bc0ffffffffff,8.0,0.0,0.0,0.0,0.0
82bc47fffffffff,156.0,0.0,0.0,0.0,18.0
82bc57fffffffff,9.0,0.0,0.0,0.0,4.0
82bc6ffffffffff,15.0,0.0,0.0,0.0,4.0
82bc77fffffffff,93.0,0.0,0.0,0.0,3.0
82bc8ffffffffff,59.0,0.0,0.0,0.0,0.0
82bc9ffffffffff,30.0,0.0,3.0,0.0,0.0
82bcd7fffffffff,73.0,0.0,0.0,0.0,7.0
82bce7fffffffff,196.0,0.0,0.0,0.0,65.0
82bcf7fffffffff,23.0,0.0,0.0,0.0,3.0
