cell_id,Diglossa mystacalis,Diglossa mystacalis unicincta,Diglossa mystacalis pectoralis,Diglossa mystacalis albilinea,Diglossa mystacalis mystacalis
848b203ffffffff,3.0,0.0,0.0,0.0,0.0
848b2cdffffffff,33.0,0.0,0.0,0.0,0.0
848b603ffffffff,3.0,0.0,0.0,0.0,0.0
848b611ffffffff,263.0,0.0,0.0,15.0,0.0
848b615ffffffff,1.0,0.0,0.0,0.0,0.0
848b617ffffffff,421.0,0.0,0.0,21.0,0.0
848b619ffffffff,1.0,0.0,0.0,0.0,0.0
848b61bffffffff,21.0,0.0,0.0,0.0,0.0
848b61dffffffff,9.0,0.0,0.0,4.0,0.0
848b6c1ffffffff,1.0,0.0,0.0,0.0,0.0
848b6c5ffffffff,4.0,0.0,0.0,0.0,0.0
848b6c9ffffffff,33.0,0.0,0.0,0.0,0.0
848b6cdffffffff,246.0,0.0,0.0,13.0,0.0
848b759ffffffff,8.0,0.0,0.0,0.0,0.0
848e609ffffffff,1.0,0.0,0.0,0.0,0.0
848e61bffffffff,1.0,0.0,0.0,0.0,0.0
848e649ffffffff,10.0,0.0,0.0,0.0,0.0
848e64bffffffff,19.0,0.0,0.0,0.0,0.0
848e651ffffffff,63.0,0.0,2.0,0.0,0.0
848e655ffffffff,49.0,0.0,3.0,0.0,0.0
848e657ffffffff,24.0,0.0,1.0,0.0,0.0
848e6c1ffffffff,2.0,0.0,0.0,0.0,0.0
848e6cdffffffff,4.0,0.0,0.0,0.0,0.0
848e6d9ffffffff,5.0,0.0,0.0,0.0,0.0
848e6ddffffffff,1.0,0.0,0.0,0.0,0.0
848f425ffffffff,17.0,0.0,0.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0,0.0,0.0
848f42dffffffff,31.0,2.0,0.0,0.0,0.0
848f465ffffffff,4.0,0.0,0.0,0.0,0.0
848f467ffffffff,4.0,0.0,0.0,0.0,0.0
848f4a5ffffffff,307.0,9.0,19.0,0.0,0.0
848f4a7ffffffff,10.0,0.0,0.0,0.0,0.0
848f553ffffffff,244.0,11.0,0.0,0.0,0.0
848f559ffffffff,22.0,0.0,0.0,0.0,0.0
848f55bffffffff,28.0,0.0,0.0,0.0,0.0
848f599ffffffff,8.0,0.0,0.0,0.0,0.0
848f59bffffffff,9.0,0.0,0.0,0.0,0.0
848f5c1ffffffff,3.0,0.0,0.0,0.0,0.0
848f5c3ffffffff,2.0,0.0,0.0,0.0,0.0
848f5c9ffffffff,2.0,0.0,0.0,0.0,0.0
848f5cbffffffff,1.0,0.0,0.0,0.0,0.0
848f5cdffffffff,6.0,0.0,0.0,0.0,0.0
848f5d7ffffffff,3.0,0.0,2.0,0.0,0.0
848f5ddffffffff,14.0,0.0,0.0,0.0,0.0
848f733ffffffff,6.0,0.0,0.0,0.0,0.0
84b3219ffffffff,4.0,0.0,0.0,0.0,0.0
84b3253ffffffff,23.0,0.0,0.0,0.0,0.0
84b3257ffffffff,3.0,0.0,0.0,0.0,0.0
