cell_id,Horornis fortipes,Horornis fortipes [fortipes Group],Horornis fortipes robustipes
82209ffffffffff,65.0,0.0,0.0
823087fffffffff,2.0,0.0,0.0
823097fffffffff,43.0,0.0,0.0
82309ffffffffff,348.0,1.0,0.0
823c0ffffffffff,267.0,0.0,0.0
823c1ffffffffff,247.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0
823c57fffffffff,976.0,0.0,0.0
823c5ffffffffff,448.0,0.0,0.0
823cdffffffffff,63.0,2.0,0.0
823ce7fffffffff,238.0,0.0,0.0
823ceffffffffff,282.0,0.0,0.0
823d17fffffffff,594.0,0.0,0.0
823d1ffffffffff,111.0,0.0,0.0
823d37fffffffff,331.0,0.0,0.0
823daffffffffff,67.0,0.0,0.0
824007fffffffff,7.0,0.0,0.0
82400ffffffffff,34.0,0.0,0.0
824017fffffffff,11.0,0.0,0.0
82401ffffffffff,26.0,0.0,0.0
824027fffffffff,10.0,0.0,0.0
82402ffffffffff,24.0,0.0,0.0
824037fffffffff,18.0,0.0,0.0
824047fffffffff,10.0,0.0,0.0
82404ffffffffff,81.0,0.0,0.0
824057fffffffff,18.0,0.0,0.0
82405ffffffffff,11.0,0.0,0.0
824067fffffffff,6.0,0.0,0.0
82406ffffffffff,3.0,0.0,0.0
824077fffffffff,5.0,0.0,0.0
824087fffffffff,2.0,0.0,0.0
82408ffffffffff,20.0,0.0,0.0
824097fffffffff,2.0,0.0,0.0
8240a7fffffffff,10.0,0.0,0.0
8240affffffffff,13.0,0.0,0.0
8240b7fffffffff,101.0,0.0,0.0
8240c7fffffffff,159.0,4.0,0.0
8240e7fffffffff,175.0,3.0,0.0
8240effffffffff,191.0,5.0,0.0
8240f7fffffffff,12.0,0.0,0.0
824107fffffffff,9.0,0.0,0.0
824117fffffffff,3.0,0.0,0.0
82411ffffffffff,424.0,47.0,0.0
824147fffffffff,4.0,0.0,0.0
824157fffffffff,20.0,0.0,0.0
82415ffffffffff,70.0,0.0,0.0
824187fffffffff,24.0,0.0,0.0
82418ffffffffff,9.0,0.0,0.0
824197fffffffff,355.0,5.0,0.0
82419ffffffffff,36.0,0.0,0.0
8241a7fffffffff,893.0,38.0,0.0
8241affffffffff,9.0,0.0,0.0
8241b7fffffffff,5272.0,255.0,0.0
82426ffffffffff,92.0,0.0,0.0
824b27fffffffff,4.0,0.0,0.0
824b37fffffffff,56.0,2.0,0.0
824b87fffffffff,7.0,0.0,0.0
824ba7fffffffff,3108.0,0.0,174.0
824bb7fffffffff,52.0,0.0,4.0
