cell_id,Cichlocolaptes leucophrus,Cichlocolaptes leucophrus leucophrus,Cichlocolaptes leucophrus holti
838130fffffffff,10.0,0.0,0.0
838133fffffffff,14.0,1.0,0.0
838134fffffffff,4.0,0.0,0.0
838136fffffffff,138.0,2.0,0.0
83a806fffffffff,282.0,0.0,33.0
83a810fffffffff,70.0,0.0,2.0
83a812fffffffff,300.0,0.0,25.0
83a814fffffffff,2.0,0.0,0.0
83a815fffffffff,320.0,0.0,20.0
83a816fffffffff,3.0,0.0,0.0
83a822fffffffff,4.0,0.0,0.0
83a826fffffffff,20.0,0.0,0.0
83a831fffffffff,164.0,0.0,7.0
83a833fffffffff,34.0,0.0,0.0
83a835fffffffff,251.0,0.0,7.0
83a882fffffffff,27.0,7.0,0.0
83a884fffffffff,14.0,0.0,0.0
83a886fffffffff,1.0,0.0,0.0
83a891fffffffff,11.0,4.0,0.0
83a8a1fffffffff,153.0,3.0,0.0
83a8a2fffffffff,98.0,6.0,0.0
83a8a3fffffffff,106.0,2.0,0.0
83a8a5fffffffff,62.0,0.0,0.0
83a8acfffffffff,5.0,0.0,0.0
83a8adfffffffff,1.0,0.0,0.0
83a8b1fffffffff,2.0,0.0,0.0
83a919fffffffff,17.0,0.0,0.0
83a91bfffffffff,22.0,0.0,0.0
83a91dfffffffff,5.0,0.0,0.0
