cell_id,Leucosticte tephrocotis,Leucosticte tephrocotis umbrina,Leucosticte tephrocotis griseonucha,Leucosticte tephrocotis littoralis,Leucosticte tephrocotis [tephrocotis Group],Leucosticte tephrocotis littoralis x [tephrocotis Group]
820c17fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820c27fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,60.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,132.0,0.0,0.0,1.0,0.0,0.0
820c5ffffffffff,52.0,0.0,3.0,0.0,0.0,0.0
820c67fffffffff,12.0,0.0,0.0,2.0,0.0,0.0
820c77fffffffff,104.0,0.0,0.0,13.0,0.0,0.0
820c87fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820c8ffffffffff,73.0,49.0,0.0,0.0,0.0,0.0
820cc7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820ccffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820cdffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
820ceffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820d0ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
820d57fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821217fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821287fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,21.0,0.0,0.0,0.0,2.0,0.0
8212c7fffffffff,323.0,0.0,0.0,6.0,22.0,0.0
8212cffffffffff,533.0,0.0,0.0,2.0,107.0,0.0
8212d7fffffffff,50.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,260.0,0.0,0.0,34.0,26.0,0.0
8212e7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,103.0,0.0,0.0,0.0,12.0,0.0
821387fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82160ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
821657fffffffff,129.0,0.0,69.0,0.0,0.0,0.0
82165ffffffffff,159.0,0.0,99.0,0.0,0.0,0.0
821757fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8222d7fffffffff,349.0,0.0,194.0,0.0,0.0,0.0
8222dffffffffff,3114.0,2234.0,0.0,0.0,0.0,0.0
8222effffffffff,1275.0,0.0,594.0,0.0,0.0,0.0
822617fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,1735.0,0.0,0.0,435.0,423.0,0.0
82268ffffffffff,426.0,0.0,0.0,103.0,104.0,0.0
822697fffffffff,1368.0,0.0,0.0,376.0,383.0,0.0
82269ffffffffff,393.0,0.0,0.0,86.0,77.0,0.0
8226a7fffffffff,34.0,0.0,0.0,6.0,7.0,0.0
8226b7fffffffff,137.0,0.0,0.0,16.0,11.0,0.0
82278ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,340.0,0.0,0.0,76.0,5.0,0.0
82279ffffffffff,101.0,0.0,0.0,23.0,7.0,0.0
822887fffffffff,203.0,0.0,0.0,21.0,9.0,0.0
82288ffffffffff,476.0,0.0,0.0,74.0,33.0,0.0
822897fffffffff,334.0,0.0,0.0,1.0,4.0,0.0
82289ffffffffff,53.0,0.0,0.0,2.0,5.0,0.0
8228a7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,26.0,0.0,0.0,0.0,0.0,0.0
8228b7fffffffff,164.0,0.0,0.0,27.0,25.0,0.0
8228d7fffffffff,405.0,0.0,0.0,57.0,4.0,0.0
8228dffffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,203.0,0.0,0.0,32.0,0.0,0.0
822987fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82298ffffffffff,632.0,0.0,0.0,0.0,0.0,0.0
822997fffffffff,8.0,0.0,0.0,0.0,2.0,0.0
82299ffffffffff,77.0,0.0,0.0,6.0,8.0,0.0
8229affffffffff,960.0,0.0,0.0,0.0,16.0,0.0
8248dffffffffff,1740.0,0.0,0.0,517.0,603.0,0.0
