cell_id,Basileuterus tristriatus,Basileuterus tristriatus sanlucasensis,Basileuterus tristriatus daedalus,Basileuterus tristriatus auricularis,Basileuterus tristriatus meridanus/bessereri,Basileuterus tristriatus pariae,Basileuterus tristriatus tristriatus/baezae
836608fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
83661bfffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8366d3fffffffff,22.0,0.0,6.0,0.0,0.0,0.0,3.0
8366defffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e0fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,7.0,0.0,5.0,0.0,0.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
836741fffffffff,30.0,0.0,0.0,0.0,6.0,0.0,0.0
83674efffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
838b61fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,15.0
838b69fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
838b6efffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838e65fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0
838f0dfffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
838f29fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838f2afffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
