cell_id,Setophaga coronata,Setophaga coronata coronata,Setophaga coronata auduboni,Setophaga coronata nigrifrons,Setophaga coronata goldmani,Setophaga coronata coronata x auduboni
84075d1ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
84075d9ffffffff,4.0,2.0,0.0,0.0,0.0,0.0
8409a45ffffffff,8.0,4.0,0.0,0.0,0.0,0.0
840c14bffffffff,1.0,1.0,0.0,0.0,0.0,0.0
840c335ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c415ffffffff,87.0,68.0,0.0,0.0,0.0,0.0
840c42dffffffff,4.0,2.0,0.0,0.0,0.0,0.0
840c441ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
840c465ffffffff,5.0,5.0,0.0,0.0,0.0,0.0
840c501ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
840c51dffffffff,3.0,1.0,0.0,0.0,0.0,0.0
840c54bffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840c551ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840c55bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c55dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c5a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c5a7ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840c5adffffffff,5.0,4.0,0.0,0.0,0.0,0.0
840c705ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840c70dffffffff,5.0,5.0,0.0,0.0,0.0,0.0
840c71bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c733ffffffff,9.0,6.0,0.0,0.0,0.0,0.0
840c735ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840c73bffffffff,6.0,2.0,0.0,0.0,0.0,0.0
840c74dffffffff,1.0,1.0,0.0,0.0,0.0,0.0
840ca43ffffffff,29.0,19.0,0.0,0.0,0.0,0.0
