cell_id,Puffinus bailloni,Puffinus bailloni bailloni,Puffinus bailloni [dichrous Group]
82615ffffffffff,1.0,0.0,1.0
82616ffffffffff,3.0,0.0,0.0
82731ffffffffff,27.0,0.0,1.0
82770ffffffffff,1.0,0.0,0.0
827737fffffffff,5.0,0.0,0.0
827777fffffffff,1.0,0.0,0.0
82789ffffffffff,1.0,0.0,1.0
827b37fffffffff,2.0,0.0,0.0
82844ffffffffff,1.0,0.0,0.0
828457fffffffff,1.0,0.0,0.0
82845ffffffffff,3.0,0.0,0.0
82846ffffffffff,1.0,0.0,0.0
8285a7fffffffff,45.0,0.0,0.0
8285b7fffffffff,4.0,0.0,0.0
8288cffffffffff,4.0,0.0,2.0
828917fffffffff,1.0,0.0,0.0
828927fffffffff,6.0,0.0,0.0
828937fffffffff,44.0,0.0,0.0
829b0ffffffffff,3.0,0.0,0.0
829b47fffffffff,4.0,0.0,0.0
829b57fffffffff,1.0,0.0,0.0
829b77fffffffff,2.0,0.0,0.0
829e07fffffffff,2.0,0.0,0.0
829e27fffffffff,12.0,0.0,1.0
829f17fffffffff,1.0,0.0,0.0
82a027fffffffff,1.0,0.0,0.0
82a04ffffffffff,9.0,0.0,0.0
82a06ffffffffff,3.0,0.0,0.0
82a0cffffffffff,1.0,0.0,0.0
82a0dffffffffff,4.0,0.0,0.0
82a0effffffffff,1.0,0.0,0.0
82a11ffffffffff,1.0,0.0,0.0
82a247fffffffff,1.0,0.0,0.0
82a257fffffffff,25.0,5.0,0.0
82b49ffffffffff,1.0,0.0,0.0
