cell_id,Chlamydotis undulata,Chlamydotis undulata fuertaventurae,Chlamydotis undulata undulata
833469fffffffff,509.0,316.0,0.0
83346bfffffffff,46.0,26.0,0.0
83346dfffffffff,2.0,1.0,0.0
833815fffffffff,1.0,0.0,0.0
833816fffffffff,12.0,0.0,0.0
833832fffffffff,3.0,0.0,0.0
833836fffffffff,4.0,0.0,0.0
8338a4fffffffff,5.0,0.0,0.0
833988fffffffff,3.0,0.0,0.0
83398dfffffffff,3.0,0.0,0.0
833999fffffffff,1.0,0.0,0.0
835513fffffffff,4.0,0.0,0.0
