cell_id,Basileuterus rufifrons,Basileuterus rufifrons [rufifrons Group],Basileuterus rufifrons salvini
824527fffffffff,56.0,21.0,8.0
82452ffffffffff,16.0,2.0,3.0
824817fffffffff,7.0,3.0,0.0
824837fffffffff,2.0,0.0,0.0
824887fffffffff,87.0,12.0,0.0
82488ffffffffff,25.0,0.0,0.0
82489ffffffffff,23.0,0.0,0.0
8248a7fffffffff,9.0,3.0,0.0
8248affffffffff,5.0,2.0,0.0
8248c7fffffffff,4.0,0.0,0.0
8248e7fffffffff,1.0,0.0,0.0
8248effffffffff,1994.0,62.0,0.0
824997fffffffff,55.0,13.0,0.0
82499ffffffffff,8.0,2.0,0.0
8249affffffffff,2.0,2.0,0.0
8249b7fffffffff,1.0,1.0,0.0
826d07fffffffff,95.0,5.0,0.0
826d17fffffffff,55.0,53.0,0.0
826d27fffffffff,16.0,1.0,7.0
826d2ffffffffff,58.0,58.0,0.0
826d37fffffffff,575.0,398.0,28.0
