cell_id,Buteogallus urubitinga,Buteogallus urubitinga ridgwayi,Buteogallus urubitinga urubitinga
844424dffffffff,5.0,0.0,0.0
8445011ffffffff,4.0,0.0,0.0
8445019ffffffff,9.0,0.0,0.0
844501bffffffff,8.0,0.0,0.0
8445053ffffffff,3.0,0.0,0.0
844505bffffffff,46.0,0.0,0.0
8445081ffffffff,2.0,0.0,0.0
8445083ffffffff,6.0,0.0,0.0
8445085ffffffff,7.0,0.0,0.0
8445087ffffffff,13.0,0.0,0.0
8445091ffffffff,9.0,0.0,0.0
8445093ffffffff,4.0,0.0,0.0
8445097ffffffff,1.0,0.0,0.0
8445099ffffffff,1.0,0.0,0.0
844509bffffffff,61.0,21.0,0.0
84450a1ffffffff,53.0,0.0,0.0
84450a3ffffffff,13.0,0.0,0.0
84450a5ffffffff,10.0,0.0,0.0
84450a7ffffffff,6.0,0.0,0.0
84450a9ffffffff,3.0,0.0,0.0
84450abffffffff,5.0,0.0,0.0
84450adffffffff,2.0,0.0,0.0
84450b1ffffffff,181.0,5.0,0.0
84450b5ffffffff,39.0,0.0,0.0
84450b9ffffffff,8.0,0.0,0.0
84450bbffffffff,3.0,0.0,0.0
84450bdffffffff,11.0,0.0,0.0
84450c1ffffffff,5.0,0.0,0.0
84450c5ffffffff,5.0,0.0,0.0
84450cdffffffff,11.0,0.0,0.0
84450d3ffffffff,32.0,0.0,0.0
84450d5ffffffff,31.0,4.0,0.0
84450d9ffffffff,2.0,0.0,0.0
84450ddffffffff,1.0,0.0,0.0
84450e1ffffffff,41.0,0.0,0.0
84450e3ffffffff,8.0,0.0,0.0
84450ebffffffff,3.0,0.0,0.0
844519bffffffff,2.0,0.0,0.0
8445203ffffffff,2.0,0.0,0.0
8445205ffffffff,5.0,0.0,0.0
8445207ffffffff,2.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0
844520bffffffff,4.0,0.0,0.0
8445211ffffffff,2.0,0.0,0.0
8445215ffffffff,106.0,0.0,0.0
8445217ffffffff,38.0,0.0,0.0
8445221ffffffff,23.0,0.0,0.0
8445225ffffffff,147.0,0.0,0.0
844522bffffffff,2.0,0.0,0.0
844522dffffffff,1.0,0.0,0.0
8445233ffffffff,89.0,0.0,0.0
844523bffffffff,26.0,0.0,0.0
8445241ffffffff,4.0,0.0,0.0
8445247ffffffff,15.0,0.0,0.0
8445249ffffffff,14.0,0.0,0.0
844524bffffffff,29.0,0.0,0.0
8445253ffffffff,5.0,0.0,0.0
8445255ffffffff,20.0,0.0,0.0
8445257ffffffff,24.0,0.0,0.0
8445263ffffffff,8.0,0.0,0.0
8445269ffffffff,6.0,0.0,0.0
844526bffffffff,2.0,0.0,0.0
844526dffffffff,7.0,0.0,0.0
8445281ffffffff,3.0,0.0,0.0
8445285ffffffff,2.0,0.0,0.0
8445287ffffffff,7.0,0.0,0.0
8445289ffffffff,35.0,0.0,0.0
844528dffffffff,8.0,0.0,0.0
8445293ffffffff,1.0,0.0,0.0
8445295ffffffff,2.0,0.0,0.0
84452a1ffffffff,5.0,0.0,0.0
84452a3ffffffff,5.0,0.0,0.0
84452a5ffffffff,62.0,0.0,0.0
84452a7ffffffff,6.0,0.0,0.0
84452a9ffffffff,113.0,0.0,0.0
84452abffffffff,14.0,0.0,0.0
84452adffffffff,1092.0,0.0,0.0
84452b9ffffffff,5.0,0.0,0.0
84452bdffffffff,31.0,0.0,0.0
84452c3ffffffff,41.0,0.0,0.0
84452c7ffffffff,12.0,0.0,0.0
84452cbffffffff,5.0,0.0,0.0
84452d9ffffffff,7.0,0.0,0.0
84452dbffffffff,6.0,0.0,0.0
84452e1ffffffff,718.0,0.0,0.0
84452e3ffffffff,347.0,0.0,0.0
84452e5ffffffff,219.0,0.0,0.0
84452e7ffffffff,81.0,0.0,0.0
84452e9ffffffff,78.0,0.0,0.0
84452ebffffffff,37.0,0.0,0.0
84452edffffffff,57.0,0.0,0.0
8445303ffffffff,2.0,0.0,0.0
8445305ffffffff,1.0,0.0,0.0
8445319ffffffff,1.0,0.0,0.0
8445321ffffffff,1.0,0.0,0.0
844532bffffffff,20.0,0.0,0.0
