cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
820c07fffffffff,120.0,0.0,0.0,0.0
820c0ffffffffff,39.0,0.0,0.0,0.0
820c17fffffffff,69.0,0.0,0.0,0.0
820c1ffffffffff,7.0,0.0,0.0,0.0
820c27fffffffff,58.0,0.0,0.0,0.0
820c2ffffffffff,155.0,0.0,0.0,0.0
820c37fffffffff,21.0,0.0,0.0,0.0
820c47fffffffff,173.0,0.0,0.0,0.0
820c57fffffffff,908.0,0.0,0.0,0.0
820c67fffffffff,668.0,31.0,0.0,0.0
820c77fffffffff,3137.0,257.0,0.0,0.0
820ce7fffffffff,13.0,0.0,0.0,0.0
820ceffffffffff,37.0,2.0,0.0,0.0
820d1ffffffffff,12.0,0.0,0.0,0.0
820d47fffffffff,104.0,0.0,0.0,0.0
820d4ffffffffff,241.0,3.0,0.0,0.0
820d57fffffffff,212.0,11.0,0.0,0.0
820d5ffffffffff,1240.0,78.0,0.0,0.0
820d67fffffffff,24.0,0.0,0.0,0.0
820d6ffffffffff,61.0,0.0,0.0,0.0
820d77fffffffff,112.0,0.0,0.0,0.0
820e0ffffffffff,1.0,0.0,0.0,0.0
820e47fffffffff,24.0,0.0,0.0,0.0
820e4ffffffffff,636.0,0.0,0.0,0.0
820e57fffffffff,167.0,0.0,0.0,0.0
820e5ffffffffff,112.0,0.0,0.0,0.0
820e67fffffffff,141.0,0.0,0.0,0.0
820e6ffffffffff,131.0,0.0,0.0,0.0
820e87fffffffff,842.0,0.0,0.0,0.0
820e8ffffffffff,45.0,0.0,0.0,0.0
820e97fffffffff,29.0,0.0,0.0,0.0
820e9ffffffffff,33.0,0.0,0.0,0.0
820ec7fffffffff,239.0,0.0,0.0,0.0
820ecffffffffff,1872.0,49.0,0.0,0.0
820ed7fffffffff,45.0,0.0,0.0,0.0
820edffffffffff,114.0,5.0,0.0,0.0
820ee7fffffffff,12.0,0.0,0.0,0.0
820eeffffffffff,3003.0,2.0,0.0,0.0
820ef7fffffffff,39.0,0.0,0.0,0.0
820f4ffffffffff,12.0,0.0,0.0,0.0
820f5ffffffffff,9.0,0.0,0.0,0.0
821207fffffffff,3.0,0.0,0.0,0.0
82120ffffffffff,32.0,0.0,0.0,0.0
