cell_id,Anisognathus somptuosus,Anisognathus somptuosus [somptuosus Group],Anisognathus somptuosus flavinucha
8466d31ffffffff,9.0,0.0,0.0
8466d37ffffffff,1.0,0.0,0.0
8466de1ffffffff,18.0,18.0,0.0
8466dedffffffff,3.0,0.0,0.0
8466e6dffffffff,3.0,0.0,0.0
8466f03ffffffff,5.0,0.0,0.0
8466f1dffffffff,3.0,0.0,0.0
8467417ffffffff,4.0,0.0,0.0
84674e9ffffffff,4.0,4.0,0.0
84674edffffffff,2.0,2.0,0.0
848b203ffffffff,14.0,0.0,14.0
848b21dffffffff,2.0,0.0,2.0
848b2c5ffffffff,7.0,0.0,5.0
848b2cdffffffff,1.0,0.0,1.0
848b2dbffffffff,1.0,0.0,0.0
848b75bffffffff,1.0,1.0,0.0
848f4a5ffffffff,2.0,2.0,0.0
848f4b3ffffffff,27.0,0.0,0.0
848f705ffffffff,2.0,2.0,0.0
848f727ffffffff,2.0,0.0,0.0
848f733ffffffff,3.0,3.0,0.0
84b3253ffffffff,4.0,0.0,4.0
