cell_id,Spindalis zena,Spindalis zena zena,Spindalis zena townsendi,Spindalis zena pretrei,Spindalis zena salvini,Spindalis zena benedicti
824417fffffffff,50.0,0.0,0.0,10.0,0.0,0.0
82441ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824437fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
824487fffffffff,312.0,0.0,90.0,0.0,0.0,0.0
8244a7fffffffff,517.0,67.0,7.0,0.0,0.0,0.0
8244affffffffff,52.0,14.0,0.0,0.0,0.0,0.0
8244b7fffffffff,27.0,9.0,2.0,0.0,0.0,0.0
82450ffffffffff,7.0,0.0,0.0,0.0,0.0,4.0
8245a7fffffffff,4.0,0.0,0.0,0.0,4.0,0.0
824c87fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
824c97fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
824cb7fffffffff,10.0,10.0,0.0,0.0,0.0,0.0
