cell_id,Corvus cornix,Corvus cornix [cornix Group],Corvus cornix capellanus
840120dffffffff,2.0,0.0,0.0
8401225ffffffff,2.0,0.0,0.0
8401227ffffffff,1.0,0.0,0.0
840122bffffffff,7.0,0.0,0.0
840122dffffffff,1.0,0.0,0.0
840123dffffffff,3.0,0.0,0.0
8401243ffffffff,4.0,0.0,0.0
8401247ffffffff,3.0,0.0,0.0
840124bffffffff,2.0,0.0,0.0
8401251ffffffff,1.0,0.0,0.0
8401259ffffffff,2.0,0.0,0.0
840125dffffffff,2.0,0.0,0.0
8401261ffffffff,10.0,0.0,0.0
8401265ffffffff,41.0,0.0,0.0
8401267ffffffff,2.0,0.0,0.0
8401269ffffffff,4.0,0.0,0.0
840126bffffffff,5.0,0.0,0.0
840126dffffffff,5.0,0.0,0.0
840130bffffffff,209.0,0.0,0.0
8401319ffffffff,73.0,0.0,0.0
840131dffffffff,13.0,0.0,0.0
8401343ffffffff,4.0,0.0,0.0
840134bffffffff,12.0,0.0,0.0
8401351ffffffff,276.0,0.0,0.0
8401353ffffffff,74.0,0.0,0.0
8401355ffffffff,147.0,0.0,0.0
8401357ffffffff,11.0,0.0,0.0
8401359ffffffff,14.0,0.0,0.0
840135bffffffff,129.0,0.0,0.0
840135dffffffff,24.0,0.0,0.0
8408005ffffffff,1.0,0.0,0.0
8408007ffffffff,7.0,0.0,0.0
8408021ffffffff,5.0,0.0,0.0
840802bffffffff,1.0,0.0,0.0
840802dffffffff,14.0,0.0,0.0
8408035ffffffff,2.0,0.0,0.0
8408057ffffffff,4.0,0.0,0.0
8408063ffffffff,4.0,0.0,0.0
8408065ffffffff,129.0,0.0,0.0
840806dffffffff,2.0,0.0,0.0
8408105ffffffff,7.0,0.0,0.0
8408107ffffffff,14.0,0.0,0.0
840810dffffffff,4.0,0.0,0.0
8408111ffffffff,3.0,0.0,0.0
8408113ffffffff,2.0,0.0,0.0
8408119ffffffff,1.0,0.0,0.0
840811dffffffff,18.0,0.0,0.0
8408121ffffffff,3.0,0.0,0.0
8408123ffffffff,2.0,0.0,0.0
8408127ffffffff,2.0,0.0,0.0
8408129ffffffff,19.0,1.0,0.0
840812bffffffff,2.0,0.0,0.0
840812dffffffff,2.0,0.0,0.0
8408133ffffffff,27.0,0.0,0.0
8408137ffffffff,3.0,0.0,0.0
840813bffffffff,3.0,0.0,0.0
8408141ffffffff,2.0,0.0,0.0
8408143ffffffff,2.0,0.0,0.0
8408147ffffffff,2.0,0.0,0.0
8408149ffffffff,2.0,0.0,0.0
840814bffffffff,4.0,0.0,0.0
840814dffffffff,14.0,0.0,0.0
8408151ffffffff,229.0,1.0,0.0
8408153ffffffff,24.0,0.0,0.0
8408159ffffffff,251.0,0.0,0.0
840815bffffffff,87.0,1.0,0.0
8408165ffffffff,6.0,0.0,0.0
8408167ffffffff,4.0,0.0,0.0
8408169ffffffff,4.0,0.0,0.0
840816bffffffff,4.0,0.0,0.0
8408193ffffffff,13.0,0.0,0.0
840819dffffffff,1.0,0.0,0.0
84081c1ffffffff,1.0,0.0,0.0
84081d5ffffffff,2.0,0.0,0.0
84081d9ffffffff,1.0,0.0,0.0
84081e5ffffffff,26.0,0.0,0.0
84081e7ffffffff,2.0,0.0,0.0
84081edffffffff,4.0,0.0,0.0
8408281ffffffff,2.0,0.0,0.0
8408283ffffffff,2.0,0.0,0.0
8408287ffffffff,2.0,0.0,0.0
8408295ffffffff,2.0,0.0,0.0
840829bffffffff,14.0,0.0,0.0
84082a5ffffffff,15.0,0.0,0.0
84082abffffffff,1.0,0.0,0.0
84082b1ffffffff,1.0,0.0,0.0
84082b7ffffffff,2.0,0.0,0.0
84082b9ffffffff,2.0,0.0,0.0
84082bbffffffff,2.0,0.0,0.0
84082bdffffffff,1.0,0.0,0.0
84082dbffffffff,2.0,0.0,0.0
8408305ffffffff,8.0,0.0,0.0
8408321ffffffff,3.0,0.0,0.0
8408325ffffffff,2.0,0.0,0.0
8408327ffffffff,2.0,0.0,0.0
8408329ffffffff,10.0,0.0,0.0
840832bffffffff,8.0,0.0,0.0
840832dffffffff,7.0,0.0,0.0
8408331ffffffff,5.0,0.0,0.0
8408333ffffffff,7.0,0.0,0.0
8408337ffffffff,8.0,0.0,0.0
8408339ffffffff,4.0,0.0,0.0
840833bffffffff,16.0,0.0,0.0
840833dffffffff,5.0,0.0,0.0
8408361ffffffff,12.0,0.0,0.0
8408363ffffffff,10.0,0.0,0.0
8408365ffffffff,46.0,1.0,0.0
840836dffffffff,73.0,0.0,0.0
8408801ffffffff,2.0,0.0,0.0
8408805ffffffff,14.0,0.0,0.0
8408807ffffffff,17.0,0.0,0.0
8408809ffffffff,21.0,0.0,0.0
840880bffffffff,22.0,0.0,0.0
840880dffffffff,228.0,0.0,0.0
8408821ffffffff,5.0,0.0,0.0
8408823ffffffff,2.0,0.0,0.0
8408829ffffffff,72.0,0.0,0.0
840882bffffffff,15.0,0.0,0.0
840882dffffffff,37.0,0.0,0.0
8408831ffffffff,14.0,0.0,0.0
8408835ffffffff,2.0,0.0,0.0
8408837ffffffff,50.0,0.0,0.0
