cell_id,Ceyx lepidus,Ceyx lepidus uropygialis,Ceyx lepidus lepidus
8372b6fffffffff,1.0,0.0,1.0
837390fffffffff,70.0,54.0,0.0
837392fffffffff,1.0,1.0,0.0
839541fffffffff,3.0,0.0,3.0
83954dfffffffff,1.0,0.0,1.0
839561fffffffff,32.0,28.0,0.0
83956afffffffff,17.0,0.0,15.0
83956bfffffffff,5.0,0.0,4.0
