cell_id,Pheugopedius felix,Pheugopedius felix [felix Group],Pheugopedius felix lawrencii
8448005ffffffff,8.0,0.0,0.0
8448007ffffffff,8.0,0.0,0.0
8448017ffffffff,50.0,0.0,0.0
8448021ffffffff,8.0,0.0,0.0
8448029ffffffff,2.0,0.0,0.0
844802bffffffff,107.0,0.0,0.0
8448035ffffffff,3.0,0.0,0.0
8448039ffffffff,2.0,0.0,0.0
844803bffffffff,3.0,0.0,0.0
8448061ffffffff,32.0,0.0,0.0
8448065ffffffff,66.0,0.0,0.0
8448067ffffffff,10.0,0.0,0.0
844806dffffffff,75.0,0.0,0.0
8448087ffffffff,3.0,0.0,0.0
84480a1ffffffff,3.0,0.0,0.0
84480a5ffffffff,16.0,0.0,0.0
84480a9ffffffff,44.0,0.0,0.0
84480adffffffff,648.0,0.0,0.0
84480bdffffffff,18.0,0.0,0.0
84480e1ffffffff,14.0,0.0,0.0
84480e5ffffffff,53.0,0.0,0.0
84480edffffffff,21.0,0.0,0.0
844815bffffffff,60.0,0.0,0.0
84481d7ffffffff,2.0,0.0,0.0
84481d9ffffffff,2.0,0.0,0.0
84481dbffffffff,8.0,0.0,0.0
8448305ffffffff,6.0,0.0,0.0
8448309ffffffff,42.0,0.0,29.0
8448321ffffffff,2.0,0.0,0.0
8448329ffffffff,24.0,0.0,0.0
844832bffffffff,11.0,0.0,0.0
8448331ffffffff,113.0,0.0,0.0
8448333ffffffff,125.0,0.0,0.0
8448337ffffffff,229.0,0.0,0.0
844833bffffffff,371.0,0.0,0.0
844833dffffffff,16.0,0.0,0.0
8448347ffffffff,1.0,0.0,0.0
8448361ffffffff,1654.0,0.0,0.0
8448363ffffffff,1719.0,0.0,0.0
8448365ffffffff,113.0,0.0,0.0
8448367ffffffff,205.0,0.0,0.0
8448369ffffffff,1849.0,0.0,0.0
844836dffffffff,197.0,0.0,0.0
8448e49ffffffff,31.0,0.0,0.0
8448e4bffffffff,5.0,0.0,0.0
8448e53ffffffff,19.0,0.0,0.0
8448e55ffffffff,11.0,0.0,0.0
8448e57ffffffff,5.0,0.0,0.0
8448e59ffffffff,26.0,0.0,0.0
8448e5bffffffff,5.0,0.0,0.0
8449801ffffffff,29.0,0.0,0.0
8449809ffffffff,26.0,0.0,0.0
844980dffffffff,33.0,0.0,0.0
8449843ffffffff,5.0,0.0,0.0
8449845ffffffff,3.0,0.0,0.0
8449855ffffffff,26.0,0.0,0.0
844985bffffffff,2.0,0.0,0.0
8449861ffffffff,23.0,0.0,0.0
8449863ffffffff,13.0,0.0,0.0
8449865ffffffff,40.0,0.0,0.0
8449869ffffffff,39.0,0.0,0.0
844986bffffffff,12.0,0.0,0.0
844986dffffffff,84.0,0.0,0.0
84498c9ffffffff,33.0,0.0,0.0
84498dbffffffff,4.0,0.0,0.0
8449941ffffffff,13.0,0.0,0.0
8449949ffffffff,6.0,0.0,0.0
844994bffffffff,7.0,0.0,0.0
8449959ffffffff,165.0,0.0,0.0
8449a17ffffffff,1.0,0.0,0.0
8449a23ffffffff,28.0,0.0,0.0
8449a27ffffffff,8.0,0.0,0.0
8449a2bffffffff,46.0,0.0,0.0
8449a3dffffffff,51.0,0.0,0.0
8449a81ffffffff,69.0,0.0,0.0
8449a83ffffffff,40.0,0.0,0.0
8449a85ffffffff,414.0,0.0,0.0
8449a87ffffffff,6.0,0.0,0.0
8449a89ffffffff,136.0,0.0,0.0
8449a8bffffffff,84.0,0.0,0.0
8449a8dffffffff,374.0,0.0,0.0
8449a91ffffffff,632.0,0.0,0.0
8449a93ffffffff,441.0,0.0,0.0
8449a95ffffffff,8.0,0.0,0.0
8449a97ffffffff,444.0,0.0,0.0
