cell_id,Geotrygon montana,Geotrygon montana montana,Geotrygon montana martinica
824437fffffffff,92.0,26.0,0.0
824507fffffffff,21.0,0.0,0.0
82450ffffffffff,11.0,0.0,0.0
82451ffffffffff,2.0,0.0,0.0
824527fffffffff,626.0,0.0,0.0
82452ffffffffff,1665.0,4.0,0.0
824537fffffffff,72.0,0.0,0.0
824587fffffffff,17.0,0.0,0.0
82458ffffffffff,411.0,72.0,0.0
824597fffffffff,6.0,0.0,0.0
82459ffffffffff,59.0,7.0,0.0
8245b7fffffffff,241.0,0.0,0.0
824817fffffffff,3.0,0.0,0.0
824837fffffffff,238.0,0.0,0.0
824997fffffffff,21.0,0.0,0.0
82499ffffffffff,19.0,0.0,0.0
8249a7fffffffff,1.0,0.0,0.0
8249affffffffff,5.0,0.0,0.0
8249b7fffffffff,12.0,0.0,0.0
824c8ffffffffff,1.0,0.0,0.0
824c97fffffffff,3.0,0.0,0.0
824c9ffffffffff,7.0,0.0,0.0
824cc7fffffffff,664.0,0.0,0.0
824cd7fffffffff,270.0,0.0,0.0
824ceffffffffff,168.0,0.0,0.0
824cf7fffffffff,141.0,0.0,0.0
825e47fffffffff,97.0,0.0,0.0
825e5ffffffffff,15.0,0.0,0.0
825e67fffffffff,50.0,0.0,0.0
825e77fffffffff,91.0,0.0,0.0
825f07fffffffff,19.0,0.0,0.0
825f0ffffffffff,5.0,0.0,0.0
825f17fffffffff,19.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f27fffffffff,2.0,0.0,0.0
825f2ffffffffff,22.0,0.0,0.0
825f47fffffffff,4.0,0.0,0.0
825f4ffffffffff,4.0,0.0,0.0
825f57fffffffff,2.0,0.0,0.0
825f6ffffffffff,18.0,0.0,0.0
825f77fffffffff,8.0,0.0,0.0
826607fffffffff,7.0,0.0,0.0
82660ffffffffff,198.0,2.0,0.0
826617fffffffff,111.0,6.0,0.0
82661ffffffffff,237.0,1.0,0.0
826627fffffffff,72.0,0.0,0.0
82662ffffffffff,18.0,1.0,0.0
826647fffffffff,6.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0
826657fffffffff,22.0,0.0,0.0
82665ffffffffff,55.0,0.0,0.0
826667fffffffff,5.0,0.0,0.0
826677fffffffff,2.0,0.0,0.0
8266a7fffffffff,536.0,59.0,0.0
8266b7fffffffff,1298.0,7.0,0.0
8266c7fffffffff,134.0,0.0,0.0
8266cffffffffff,31.0,0.0,0.0
8266d7fffffffff,231.0,5.0,0.0
8266dffffffffff,478.0,27.0,0.0
8266e7fffffffff,539.0,3.0,0.0
8266effffffffff,83.0,0.0,0.0
8266f7fffffffff,344.0,2.0,0.0
826727fffffffff,6.0,0.0,0.0
826737fffffffff,501.0,2.0,0.0
826747fffffffff,37.0,0.0,0.0
82674ffffffffff,27.0,3.0,0.0
82675ffffffffff,13.0,1.0,0.0
826797fffffffff,49.0,0.0,0.0
82679ffffffffff,60.0,0.0,0.0
826d07fffffffff,10.0,1.0,0.0
826d17fffffffff,28.0,8.0,0.0
826d27fffffffff,61.0,0.0,0.0
826d2ffffffffff,183.0,20.0,0.0
826d37fffffffff,89.0,4.0,0.0
826d67fffffffff,37.0,0.0,0.0
826d6ffffffffff,1281.0,0.0,0.0
826d77fffffffff,12.0,0.0,0.0
828047fffffffff,17.0,0.0,0.0
82804ffffffffff,3.0,0.0,0.0
828067fffffffff,15.0,0.0,0.0
82806ffffffffff,5.0,0.0,0.0
828077fffffffff,5.0,0.0,0.0
828127fffffffff,2.0,0.0,0.0
82812ffffffffff,1.0,0.0,0.0
828137fffffffff,125.0,0.0,0.0
828147fffffffff,11.0,0.0,0.0
82814ffffffffff,37.0,0.0,0.0
82815ffffffffff,6.0,0.0,0.0
828177fffffffff,2.0,0.0,0.0
828187fffffffff,151.0,0.0,0.0
82819ffffffffff,1.0,0.0,0.0
8281affffffffff,3.0,0.0,0.0
828a07fffffffff,14.0,0.0,0.0
828a17fffffffff,4.0,0.0,0.0
828a1ffffffffff,6.0,0.0,0.0
828a27fffffffff,5.0,0.0,0.0
828a2ffffffffff,1.0,0.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a47fffffffff,30.0,0.0,0.0
828a4ffffffffff,2.0,0.0,0.0
828a6ffffffffff,60.0,0.0,0.0
828a77fffffffff,15.0,0.0,0.0
828a87fffffffff,14.0,0.0,0.0
828aaffffffffff,13.0,0.0,0.0
828adffffffffff,5.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0
828af7fffffffff,113.0,3.0,0.0
828b0ffffffffff,10.0,0.0,0.0
828b17fffffffff,3.0,0.0,0.0
828b1ffffffffff,10.0,0.0,0.0
828b27fffffffff,19.0,0.0,0.0
828b2ffffffffff,38.0,0.0,0.0
828b47fffffffff,461.0,0.0,0.0
828b4ffffffffff,4.0,0.0,0.0
828b57fffffffff,19.0,0.0,0.0
828b5ffffffffff,15.0,0.0,0.0
828b67fffffffff,206.0,0.0,0.0
