cell_id,Buteo buteo,Buteo buteo buteo,Buteo buteo arrigonii,Buteo buteo rothschildi,Buteo buteo insularum,Buteo buteo bannermani,Buteo buteo vulpinus/menetriesi
820817fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,587.0,44.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,66.0,0.0,0.0,0.0,0.0,0.0,0.0
820897fffffffff,76.0,6.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,554.0,13.0,0.0,0.0,0.0,0.0,2.0
8208a7fffffffff,65.0,10.0,0.0,0.0,0.0,0.0,0.0
8208affffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,193.0,0.0,0.0,0.0,0.0,0.0,0.0
8208c7fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8208dffffffffff,24.0,0.0,0.0,0.0,0.0,0.0,3.0
8208effffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8208f7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,32.0,2.0,0.0,0.0,0.0,0.0,0.0
82098ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
820997fffffffff,100.0,0.0,0.0,0.0,0.0,0.0,0.0
82099ffffffffff,193.0,29.0,0.0,0.0,0.0,0.0,0.0
820a97fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820b97fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820bb7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
821017fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821027fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8210a7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8210b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8210c7fffffffff,65.0,0.0,0.0,0.0,0.0,0.0,4.0
8210d7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8210dffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8210effffffffff,15.0,0.0,0.0,0.0,0.0,0.0,5.0
8210f7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,1.0
821107fffffffff,90.0,1.0,0.0,0.0,0.0,0.0,1.0
821117fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
821127fffffffff,62.0,2.0,0.0,0.0,0.0,0.0,2.0
82112ffffffffff,8.0,3.0,0.0,0.0,0.0,0.0,0.0
821137fffffffff,94.0,0.0,0.0,0.0,0.0,0.0,0.0
821157fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821187fffffffff,161.0,49.0,0.0,0.0,0.0,0.0,2.0
82118ffffffffff,293.0,17.0,0.0,0.0,0.0,0.0,0.0
821197fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
82119ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8211a7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8211affffffffff,641.0,136.0,0.0,0.0,0.0,0.0,0.0
8211b7fffffffff,21.0,3.0,0.0,0.0,0.0,0.0,0.0
821807fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
82180ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
821827fffffffff,86.0,14.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,1656.0,27.0,0.0,0.0,0.0,0.0,0.0
821847fffffffff,224.0,27.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,7208.0,55.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,2064.0,0.0,0.0,0.0,0.0,0.0,0.0
821867fffffffff,387.0,65.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,723.0,66.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,815.0,65.0,0.0,0.0,0.0,0.0,0.0
821907fffffffff,22.0,2.0,0.0,0.0,0.0,0.0,0.0
