cell_id,Haemorhous mexicanus,Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus mcgregori
840c465ffffffff,6.0,0.0,0.0
840c46dffffffff,2.0,0.0,0.0
840c733ffffffff,22.0,0.0,0.0
840d5b9ffffffff,5.0,0.0,0.0
840e491ffffffff,3.0,0.0,0.0
840e497ffffffff,1.0,0.0,0.0
840e49bffffffff,2.0,0.0,0.0
8412265ffffffff,1.0,0.0,0.0
8412909ffffffff,1.0,0.0,0.0
84129d9ffffffff,2.0,0.0,0.0
8412b03ffffffff,4.0,0.0,0.0
8412c1dffffffff,1.0,0.0,0.0
8412c85ffffffff,3.0,0.0,0.0
8412ccdffffffff,15.0,2.0,0.0
8412ce3ffffffff,2.0,0.0,0.0
8412ce7ffffffff,1.0,0.0,0.0
8412db1ffffffff,4.0,4.0,0.0
8412dd9ffffffff,1.0,0.0,0.0
8412ddbffffffff,9.0,0.0,0.0
8412ea7ffffffff,2.0,0.0,0.0
8412ecdffffffff,2.0,0.0,0.0
841382dffffffff,2.0,0.0,0.0
8413867ffffffff,2.0,0.0,0.0
84138c7ffffffff,2.0,0.0,0.0
84261adffffffff,2.0,2.0,0.0
84262cdffffffff,2.0,0.0,0.0
842630dffffffff,2.0,0.0,0.0
842634bffffffff,6.0,0.0,0.0
842640dffffffff,1.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0
8426443ffffffff,2.0,0.0,0.0
8426463ffffffff,18.0,1.0,0.0
842646bffffffff,5.0,0.0,0.0
8426487ffffffff,6.0,0.0,0.0
842648bffffffff,1.0,0.0,0.0
842649bffffffff,1.0,0.0,0.0
842649dffffffff,4.0,0.0,0.0
84264a7ffffffff,4.0,2.0,0.0
84264a9ffffffff,2.0,0.0,0.0
84264abffffffff,2.0,2.0,0.0
84264b9ffffffff,2.0,2.0,0.0
84264c3ffffffff,3.0,1.0,0.0
84264c7ffffffff,1.0,0.0,0.0
84264d1ffffffff,5.0,3.0,0.0
84264dbffffffff,2.0,0.0,0.0
84264e5ffffffff,5.0,2.0,0.0
84264e7ffffffff,4.0,0.0,0.0
842653bffffffff,2.0,0.0,0.0
842654bffffffff,1.0,0.0,0.0
8426551ffffffff,1.0,0.0,0.0
8426557ffffffff,1.0,0.0,0.0
8426567ffffffff,14.0,0.0,0.0
842659bffffffff,21.0,4.0,0.0
84265a3ffffffff,2.0,0.0,0.0
84265a7ffffffff,2.0,0.0,0.0
84265b5ffffffff,4.0,0.0,0.0
84265d7ffffffff,5.0,0.0,0.0
8426601ffffffff,2.0,0.0,0.0
842663dffffffff,2.0,0.0,0.0
8426641ffffffff,2.0,0.0,0.0
8426645ffffffff,14.0,0.0,0.0
8426647ffffffff,2.0,0.0,0.0
8426649ffffffff,4.0,0.0,0.0
842664dffffffff,16.0,2.0,0.0
8426665ffffffff,21.0,0.0,0.0
8426669ffffffff,7.0,0.0,0.0
842666bffffffff,2.0,0.0,0.0
842669bffffffff,25.0,0.0,0.0
84266b7ffffffff,51.0,0.0,0.0
8426723ffffffff,1.0,1.0,0.0
8426745ffffffff,4.0,4.0,0.0
8426801ffffffff,2.0,0.0,0.0
8426805ffffffff,4.0,0.0,0.0
8426813ffffffff,18.0,0.0,0.0
8426817ffffffff,7.0,0.0,0.0
8426819ffffffff,136.0,0.0,0.0
842681bffffffff,57.0,0.0,0.0
8426825ffffffff,2.0,0.0,0.0
842682bffffffff,1.0,0.0,0.0
8426831ffffffff,1.0,1.0,0.0
8426833ffffffff,3.0,0.0,0.0
842683bffffffff,1.0,1.0,0.0
8426853ffffffff,4.0,0.0,0.0
8426881ffffffff,9.0,0.0,0.0
8426887ffffffff,2.0,0.0,0.0
8426889ffffffff,11.0,0.0,0.0
842688dffffffff,2.0,0.0,0.0
8426891ffffffff,5.0,0.0,0.0
8426893ffffffff,2.0,0.0,0.0
84268a1ffffffff,1.0,0.0,0.0
84268a7ffffffff,3.0,0.0,0.0
84268abffffffff,2.0,0.0,0.0
84268b9ffffffff,1.0,0.0,0.0
84268bbffffffff,2.0,0.0,0.0
84268c5ffffffff,2.0,0.0,0.0
84268c7ffffffff,19.0,3.0,0.0
84268cdffffffff,89.0,0.0,0.0
