cell_id,Tyrannus caudifasciatus,Tyrannus caudifasciatus [caudifasciatus Group],Tyrannus caudifasciatus taylori,Tyrannus caudifasciatus gabbii
824417fffffffff,7.0,1.0,0.0,0.0
824437fffffffff,1.0,0.0,0.0,0.0
824487fffffffff,68.0,9.0,0.0,0.0
8244a7fffffffff,23.0,0.0,0.0,0.0
8244b7fffffffff,1.0,0.0,0.0,0.0
8245a7fffffffff,25.0,0.0,0.0,0.0
8245b7fffffffff,465.0,463.0,0.0,0.0
824c8ffffffffff,6.0,0.0,0.0,1.0
824cc7fffffffff,52.0,0.0,50.0,0.0
824cd7fffffffff,44.0,0.0,0.0,13.0
824ceffffffffff,131.0,0.0,31.0,0.0
826727fffffffff,8.0,0.0,0.0,0.0
826737fffffffff,171.0,171.0,0.0,0.0
