cell_id,Troglodytes musculus,Troglodytes musculus [intermedius Group],Troglodytes musculus [audax Group],Troglodytes musculus carabayae,Troglodytes musculus [musculus Group]
824507fffffffff,341.0,0.0,0.0,0.0,0.0
82450ffffffffff,2256.0,0.0,0.0,0.0,0.0
824527fffffffff,9521.0,0.0,0.0,0.0,0.0
82452ffffffffff,8241.0,0.0,0.0,0.0,0.0
824537fffffffff,1803.0,0.0,0.0,0.0,0.0
824577fffffffff,341.0,0.0,0.0,0.0,0.0
824997fffffffff,128.0,0.0,0.0,0.0,0.0
825f07fffffffff,6.0,0.0,0.0,0.0,0.0
825f0ffffffffff,899.0,0.0,0.0,0.0,0.0
825f17fffffffff,178.0,0.0,0.0,0.0,0.0
825f1ffffffffff,225.0,0.0,0.0,0.0,0.0
825f27fffffffff,17.0,0.0,0.0,0.0,0.0
825f2ffffffffff,458.0,0.0,0.0,0.0,0.0
825f47fffffffff,229.0,0.0,0.0,0.0,0.0
825f4ffffffffff,274.0,0.0,0.0,0.0,0.0
825f57fffffffff,55.0,0.0,0.0,0.0,0.0
825f5ffffffffff,3745.0,0.0,0.0,0.0,0.0
825f67fffffffff,2.0,0.0,0.0,0.0,0.0
825f6ffffffffff,17.0,0.0,0.0,0.0,0.0
825f77fffffffff,150.0,0.0,0.0,0.0,0.0
826607fffffffff,936.0,0.0,0.0,0.0,0.0
82660ffffffffff,5876.0,0.0,0.0,0.0,0.0
826617fffffffff,4359.0,0.0,0.0,0.0,0.0
82661ffffffffff,16454.0,0.0,0.0,0.0,0.0
826627fffffffff,5155.0,0.0,0.0,0.0,0.0
82662ffffffffff,1034.0,0.0,0.0,0.0,0.0
826637fffffffff,733.0,0.0,0.0,0.0,0.0
826647fffffffff,381.0,0.0,0.0,0.0,0.0
82664ffffffffff,25.0,0.0,0.0,0.0,0.0
826657fffffffff,891.0,0.0,0.0,0.0,0.0
82665ffffffffff,683.0,0.0,0.0,0.0,0.0
826667fffffffff,161.0,0.0,0.0,0.0,0.0
82666ffffffffff,20.0,0.0,0.0,0.0,0.0
826677fffffffff,410.0,0.0,0.0,0.0,0.0
826687fffffffff,51.0,0.0,0.0,0.0,0.0
8266a7fffffffff,17237.0,0.0,0.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0,0.0,0.0
8266b7fffffffff,25382.0,0.0,0.0,0.0,0.0
8266c7fffffffff,6243.0,0.0,0.0,0.0,0.0
8266cffffffffff,152.0,0.0,0.0,0.0,0.0
8266d7fffffffff,10751.0,0.0,0.0,0.0,0.0
8266dffffffffff,5058.0,0.0,0.0,0.0,0.0
8266e7fffffffff,36226.0,0.0,0.0,0.0,0.0
8266effffffffff,907.0,0.0,0.0,0.0,0.0
8266f7fffffffff,14456.0,0.0,0.0,0.0,0.0
826747fffffffff,1651.0,0.0,0.0,0.0,0.0
82674ffffffffff,9493.0,0.0,0.0,0.0,0.0
826757fffffffff,4912.0,0.0,0.0,0.0,0.0
82675ffffffffff,2166.0,0.0,0.0,0.0,0.0
82678ffffffffff,2.0,0.0,0.0,0.0,0.0
826797fffffffff,540.0,0.0,0.0,0.0,0.0
82679ffffffffff,2486.0,0.0,0.0,0.0,0.0
8267b7fffffffff,50.0,0.0,0.0,0.0,0.0
826d07fffffffff,117.0,0.0,0.0,0.0,0.0
826d27fffffffff,1595.0,0.0,0.0,0.0,0.0
826d2ffffffffff,15167.0,0.0,0.0,0.0,0.0
826d37fffffffff,2359.0,0.0,0.0,0.0,0.0
826d67fffffffff,6532.0,0.0,0.0,0.0,0.0
