cell_id,Paroaria gularis,Paroaria gularis gularis,Paroaria gularis cervicalis
824bb7fffffffff,2.0,0.0,0.0
826647fffffffff,3.0,3.0,0.0
8266c7fffffffff,102.0,0.0,0.0
8266d7fffffffff,2.0,0.0,0.0
8266dffffffffff,14.0,0.0,0.0
8266e7fffffffff,14.0,0.0,0.0
8266effffffffff,6.0,0.0,0.0
82814ffffffffff,2.0,2.0,0.0
82815ffffffffff,6.0,6.0,0.0
828a37fffffffff,3.0,0.0,3.0
828a47fffffffff,2.0,0.0,0.0
828b0ffffffffff,5.0,0.0,1.0
828b17fffffffff,14.0,0.0,14.0
828b1ffffffffff,8.0,0.0,6.0
828b27fffffffff,2.0,0.0,2.0
828b2ffffffffff,4.0,0.0,1.0
828b67fffffffff,14.0,12.0,0.0
828b77fffffffff,4.0,0.0,0.0
828e67fffffffff,3.0,0.0,0.0
828e6ffffffffff,1.0,0.0,0.0
