cell_id,Pellorneum malaccense,Pellorneum malaccense malaccense,Pellorneum malaccense saturatum,Pellorneum malaccense poliogene
8465005ffffffff,24.0,0.0,0.0,0.0
8465009ffffffff,31.0,0.0,0.0,0.0
8465029ffffffff,3.0,0.0,0.0,0.0
846502bffffffff,27.0,0.0,0.0,0.0
8465033ffffffff,13.0,0.0,0.0,0.0
8465037ffffffff,15.0,0.0,0.0,0.0
8465043ffffffff,2.0,0.0,0.0,0.0
846505dffffffff,1.0,0.0,0.0,0.0
8465063ffffffff,9.0,0.0,0.0,0.0
8465189ffffffff,12.0,0.0,0.0,0.0
846518bffffffff,10.0,0.0,0.0,0.0
84651c3ffffffff,2.0,0.0,0.0,0.0
84651dbffffffff,6.0,0.0,0.0,0.0
846520dffffffff,54.0,0.0,0.0,0.0
8465263ffffffff,10.0,0.0,0.0,0.0
