cell_id,Haematopus ostralegus,Haematopus ostralegus ostralegus/longipes,Haematopus ostralegus osculans
820127fffffffff,1.0,1.0,0.0
820137fffffffff,9.0,9.0,0.0
820747fffffffff,6.0,4.0,0.0
82075ffffffffff,21.0,0.0,0.0
82099ffffffffff,1.0,1.0,0.0
821187fffffffff,1.0,1.0,0.0
8211affffffffff,4.0,4.0,0.0
821847fffffffff,2.0,0.0,0.0
82184ffffffffff,44.0,3.0,0.0
82185ffffffffff,53.0,0.0,0.0
821867fffffffff,2.0,0.0,0.0
821877fffffffff,2.0,0.0,0.0
82190ffffffffff,10.0,4.0,0.0
82192ffffffffff,10.0,6.0,0.0
821947fffffffff,14.0,6.0,0.0
82194ffffffffff,11.0,4.0,0.0
821957fffffffff,20.0,18.0,0.0
82195ffffffffff,9.0,3.0,0.0
821977fffffffff,1.0,1.0,0.0
821aa7fffffffff,3.0,0.0,0.0
821b9ffffffffff,7.0,0.0,0.0
821e07fffffffff,28.0,2.0,0.0
821e0ffffffffff,16.0,0.0,0.0
821e17fffffffff,3.0,0.0,0.0
821e1ffffffffff,10.0,0.0,0.0
821e27fffffffff,20.0,0.0,0.0
821e37fffffffff,7.0,0.0,0.0
821e57fffffffff,1.0,0.0,0.0
821e6ffffffffff,2.0,0.0,0.0
821ea7fffffffff,17.0,0.0,0.0
821eaffffffffff,3.0,0.0,0.0
821ec7fffffffff,11.0,0.0,0.0
821ecffffffffff,9.0,1.0,0.0
821ee7fffffffff,3.0,0.0,0.0
821eeffffffffff,15.0,0.0,0.0
821f07fffffffff,3.0,1.0,0.0
821f0ffffffffff,6.0,0.0,0.0
821f17fffffffff,2.0,0.0,0.0
821f1ffffffffff,14.0,0.0,0.0
821f27fffffffff,2.0,2.0,0.0
821f2ffffffffff,9.0,9.0,0.0
821f37fffffffff,9.0,7.0,0.0
821f47fffffffff,1.0,0.0,0.0
821f57fffffffff,2.0,0.0,0.0
821f77fffffffff,3.0,0.0,0.0
821f87fffffffff,14.0,0.0,0.0
821f8ffffffffff,24.0,0.0,0.0
821f9ffffffffff,3.0,0.0,0.0
821faffffffffff,5.0,0.0,0.0
82201ffffffffff,2.0,0.0,0.0
822037fffffffff,2.0,0.0,0.0
8220e7fffffffff,7.0,0.0,0.0
8220f7fffffffff,2.0,0.0,0.0
822157fffffffff,3.0,0.0,0.0
822477fffffffff,4.0,2.0,0.0
8225a7fffffffff,2.0,0.0,0.0
822c0ffffffffff,6.0,0.0,0.0
822c27fffffffff,4.0,0.0,0.0
822c57fffffffff,4.0,0.0,0.0
822c97fffffffff,14.0,0.0,0.0
822ce7fffffffff,2.0,0.0,0.0
822d17fffffffff,3.0,3.0,0.0
822d37fffffffff,2.0,0.0,0.0
822d67fffffffff,10.0,0.0,0.0
822db7fffffffff,3.0,2.0,0.0
822e17fffffffff,3.0,0.0,0.0
822e67fffffffff,2.0,0.0,0.0
823007fffffffff,2.0,0.0,0.0
823017fffffffff,5.0,0.0,2.0
823037fffffffff,7.0,0.0,0.0
823087fffffffff,9.0,0.0,0.0
82309ffffffffff,8.0,0.0,0.0
8230a7fffffffff,5.0,0.0,0.0
8230c7fffffffff,10.0,0.0,10.0
8230d7fffffffff,1.0,0.0,0.0
8230e7fffffffff,2.0,0.0,0.0
82318ffffffffff,2.0,0.0,0.0
823427fffffffff,7.0,0.0,0.0
82344ffffffffff,4.0,0.0,0.0
82351ffffffffff,2.0,0.0,0.0
823827fffffffff,2.0,0.0,0.0
82384ffffffffff,4.0,0.0,0.0
82386ffffffffff,3.0,3.0,0.0
823907fffffffff,5.0,0.0,0.0
82390ffffffffff,4.0,0.0,0.0
823917fffffffff,142.0,1.0,0.0
82391ffffffffff,19.0,1.0,0.0
823927fffffffff,167.0,0.0,0.0
82392ffffffffff,49.0,0.0,0.0
823937fffffffff,45.0,0.0,0.0
823947fffffffff,9.0,2.0,0.0
823957fffffffff,2.0,0.0,0.0
823977fffffffff,15.0,3.0,0.0
823987fffffffff,2.0,2.0,0.0
823c8ffffffffff,3.0,0.0,0.0
823c97fffffffff,6.0,0.0,0.0
823cd7fffffffff,2.0,0.0,0.0
823d17fffffffff,4.0,0.0,0.0
823d37fffffffff,5.0,0.0,0.0
823e6ffffffffff,9.0,0.0,0.0
823f47fffffffff,2.0,0.0,0.0
82411ffffffffff,11.0,0.0,4.0
824177fffffffff,3.0,0.0,3.0
8241a7fffffffff,166.0,0.0,2.0
8241b7fffffffff,4.0,0.0,0.0
8242c7fffffffff,58.0,0.0,0.0
8242dffffffffff,35.0,0.0,0.0
82431ffffffffff,25.0,0.0,0.0
82438ffffffffff,1.0,1.0,0.0
82439ffffffffff,11.0,11.0,0.0
8243a7fffffffff,8.0,0.0,0.0
8243affffffffff,3.0,0.0,0.0
824b37fffffffff,3.0,0.0,0.0
824ba7fffffffff,15.0,0.0,0.0
824bb7fffffffff,42.0,0.0,0.0
82524ffffffffff,3.0,3.0,0.0
825417fffffffff,2.0,0.0,0.0
8254c7fffffffff,8.0,0.0,0.0
826007fffffffff,28.0,0.0,0.0
826017fffffffff,2.0,0.0,0.0
82601ffffffffff,14.0,0.0,0.0
826027fffffffff,85.0,0.0,0.0
8260affffffffff,52.0,0.0,0.0
82611ffffffffff,32.0,0.0,0.0
82618ffffffffff,125.0,2.0,0.0
8261affffffffff,5.0,0.0,0.0
826327fffffffff,3.0,3.0,0.0
826947fffffffff,17.0,0.0,3.0
827b5ffffffffff,6.0,0.0,0.0
829737fffffffff,6.0,0.0,0.0
82ac17fffffffff,1.0,0.0,0.0
82ad37fffffffff,4.0,0.0,0.0
82bcf7fffffffff,29.0,0.0,0.0
