cell_id,Ploceus cucullatus,Ploceus cucullatus collaris,Ploceus cucullatus [cucullatus Group],Ploceus cucullatus nigriceps/graueri,Ploceus cucullatus spilonotus
822c97fffffffff,2.0,1.0,0.0,0.0,0.0
823917fffffffff,1.0,0.0,0.0,0.0,0.0
823927fffffffff,1.0,0.0,0.0,0.0,0.0
823937fffffffff,3.0,0.0,0.0,0.0,0.0
8243a7fffffffff,4.0,0.0,0.0,0.0,0.0
8243affffffffff,1.0,0.0,0.0,0.0,0.0
82441ffffffffff,2.0,0.0,0.0,0.0,0.0
824ba7fffffffff,2.0,0.0,0.0,0.0,0.0
824c8ffffffffff,2.0,0.0,0.0,0.0,0.0
824cd7fffffffff,3.0,0.0,0.0,0.0,0.0
824cf7fffffffff,13.0,0.0,0.0,0.0,0.0
8254c7fffffffff,2.0,0.0,0.0,0.0,0.0
825f5ffffffffff,20.0,0.0,0.0,0.0,0.0
826527fffffffff,3.0,0.0,1.0,0.0,0.0
826727fffffffff,6.0,0.0,0.0,0.0,0.0
826747fffffffff,12.0,0.0,0.0,0.0,0.0
82674ffffffffff,6.0,0.0,0.0,0.0,0.0
826757fffffffff,4.0,0.0,0.0,0.0,0.0
82675ffffffffff,7.0,0.0,0.0,0.0,0.0
826ac7fffffffff,10.0,0.0,10.0,0.0,0.0
826acffffffffff,5.0,0.0,5.0,0.0,0.0
827a47fffffffff,1.0,0.0,0.0,0.0,0.0
827a5ffffffffff,1.0,0.0,1.0,0.0,0.0
827a6ffffffffff,5.0,0.0,0.0,4.0,0.0
8282d7fffffffff,2.0,0.0,2.0,0.0,0.0
829697fffffffff,2.0,0.0,2.0,0.0,0.0
82971ffffffffff,3.0,0.0,0.0,3.0,0.0
82972ffffffffff,1.0,0.0,0.0,1.0,0.0
82975ffffffffff,2.0,0.0,0.0,0.0,2.0
82976ffffffffff,3.0,3.0,0.0,0.0,0.0
82bcd7fffffffff,4.0,0.0,0.0,0.0,2.0
82bcdffffffffff,7.0,0.0,0.0,0.0,2.0
