cell_id,Pycnonotus sinensis,Pycnonotus sinensis sinensis,Pycnonotus sinensis hainanus,Pycnonotus sinensis formosae/orii
83248bfffffffff,2.0,0.0,0.0,0.0
8324d2fffffffff,2.0,0.0,0.0,0.0
833019fffffffff,13.0,0.0,0.0,0.0
833030fffffffff,5.0,5.0,0.0,0.0
833032fffffffff,1.0,1.0,0.0,0.0
833083fffffffff,2.0,0.0,0.0,0.0
83308efffffffff,2.0,0.0,0.0,0.0
833092fffffffff,2.0,0.0,0.0,0.0
833098fffffffff,2.0,0.0,0.0,0.0
833099fffffffff,22.0,0.0,0.0,0.0
83309afffffffff,2.0,0.0,0.0,0.0
83309bfffffffff,86.0,0.0,0.0,0.0
83309dfffffffff,9.0,0.0,0.0,0.0
8330a2fffffffff,4.0,0.0,0.0,0.0
8330e0fffffffff,4.0,0.0,0.0,0.0
8330eafffffffff,1.0,0.0,0.0,0.0
83318dfffffffff,10.0,0.0,0.0,0.0
834001fffffffff,4.0,4.0,0.0,0.0
834089fffffffff,2.0,0.0,0.0,0.0
8340b5fffffffff,3.0,3.0,0.0,0.0
8340e3fffffffff,4.0,4.0,0.0,0.0
834103fffffffff,2.0,2.0,0.0,0.0
834185fffffffff,4.0,4.0,0.0,0.0
834192fffffffff,7.0,0.0,0.0,0.0
8341a0fffffffff,6.0,6.0,0.0,0.0
8341a3fffffffff,2.0,2.0,0.0,0.0
8341a4fffffffff,5.0,2.0,0.0,0.0
8341a5fffffffff,4.0,2.0,0.0,0.0
8341b0fffffffff,4.0,4.0,0.0,0.0
8341b4fffffffff,4.0,0.0,0.0,0.0
8341b5fffffffff,17.0,2.0,0.0,0.0
834a26fffffffff,4.0,0.0,0.0,0.0
834b26fffffffff,4.0,0.0,0.0,0.0
834b91fffffffff,7.0,0.0,0.0,0.0
834ba0fffffffff,54.0,0.0,0.0,2.0
834ba1fffffffff,22.0,0.0,0.0,0.0
834ba2fffffffff,153.0,0.0,0.0,0.0
834ba3fffffffff,5.0,0.0,0.0,0.0
834ba5fffffffff,42.0,0.0,0.0,0.0
834ba8fffffffff,2.0,0.0,0.0,2.0
834bb1fffffffff,65.0,0.0,0.0,0.0
834bb5fffffffff,84.0,0.0,0.0,0.0
