cell_id,Pnoepyga albiventer,Pnoepyga albiventer albiventer/pallidior,Pnoepyga albiventer mutica
823c07fffffffff,138.0,121.0,0.0
823c0ffffffffff,277.0,180.0,0.0
823c1ffffffffff,290.0,240.0,0.0
823c37fffffffff,22.0,18.0,0.0
823c47fffffffff,12.0,12.0,0.0
823c57fffffffff,67.0,7.0,0.0
823c5ffffffffff,226.0,190.0,0.0
823cdffffffffff,26.0,25.0,0.0
823ce7fffffffff,158.0,115.0,0.0
823ceffffffffff,14.0,0.0,0.0
823d17fffffffff,564.0,394.0,0.0
823d1ffffffffff,300.0,131.0,0.0
823d37fffffffff,25.0,25.0,0.0
823daffffffffff,334.0,246.0,0.0
82404ffffffffff,31.0,27.0,0.0
824057fffffffff,2.0,0.0,2.0
82405ffffffffff,11.0,11.0,0.0
8240c7fffffffff,17.0,0.0,17.0
8240e7fffffffff,20.0,0.0,20.0
8240effffffffff,62.0,0.0,62.0
82415ffffffffff,5.0,4.0,0.0
