cell_id,Symposiachrus bimaculatus,Symposiachrus bimaculatus bimaculatus,Symposiachrus bimaculatus diadematus,Symposiachrus bimaculatus nigrimentum
827397fffffffff,230.0,131.0,0.0,0.0
829547fffffffff,25.0,0.0,0.0,25.0
829567fffffffff,2.0,0.0,1.0,0.0
82956ffffffffff,182.0,0.0,64.0,97.0
