cell_id,Crypturellus cinnamomeus,Crypturellus cinnamomeus occidentalis,Crypturellus cinnamomeus [cinnamomeus Group]
834509fffffffff,4.0,0.0,4.0
83450dfffffffff,1.0,0.0,0.0
83450efffffffff,3.0,0.0,3.0
834524fffffffff,2.0,0.0,0.0
834526fffffffff,4.0,0.0,0.0
834528fffffffff,16.0,0.0,0.0
83452afffffffff,7.0,0.0,2.0
83452bfffffffff,4.0,0.0,3.0
83452efffffffff,76.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834996fffffffff,12.0,0.0,5.0
834998fffffffff,5.0,0.0,0.0
8349a3fffffffff,1.0,0.0,0.0
8349a8fffffffff,1.0,0.0,0.0
8349b5fffffffff,1.0,1.0,0.0
836d15fffffffff,5.0,0.0,0.0
836d21fffffffff,6.0,0.0,0.0
836d23fffffffff,10.0,0.0,2.0
836d25fffffffff,1.0,0.0,0.0
836d29fffffffff,41.0,0.0,0.0
836d2afffffffff,1.0,0.0,0.0
836d2bfffffffff,15.0,0.0,6.0
836d2efffffffff,5.0,0.0,0.0
836d30fffffffff,8.0,0.0,4.0
836d33fffffffff,9.0,0.0,0.0
836d35fffffffff,5.0,0.0,0.0
836d66fffffffff,10.0,0.0,0.0
836d68fffffffff,2.0,0.0,1.0
836d69fffffffff,19.0,0.0,0.0
836d74fffffffff,2.0,0.0,0.0
