cell_id,Vireo flavoviridis,Vireo flavoviridis [flavoviridis Group],Vireo flavoviridis forreri
834424fffffffff,53.0,0.0,0.0
834501fffffffff,78.0,0.0,0.0
834505fffffffff,144.0,0.0,0.0
834508fffffffff,662.0,0.0,0.0
834509fffffffff,62.0,0.0,0.0
83450afffffffff,522.0,0.0,0.0
83450bfffffffff,235.0,0.0,0.0
83450cfffffffff,129.0,0.0,0.0
83450dfffffffff,185.0,0.0,0.0
83450efffffffff,385.0,0.0,0.0
834519fffffffff,2.0,0.0,0.0
834520fffffffff,28.0,0.0,0.0
834521fffffffff,509.0,0.0,0.0
834522fffffffff,2.0,0.0,0.0
834523fffffffff,405.0,0.0,0.0
834524fffffffff,152.0,0.0,0.0
834525fffffffff,60.0,0.0,0.0
834526fffffffff,3.0,0.0,0.0
834528fffffffff,543.0,0.0,0.0
834529fffffffff,24.0,0.0,0.0
83452afffffffff,1509.0,0.0,0.0
83452bfffffffff,158.0,0.0,0.0
83452cfffffffff,1007.0,0.0,0.0
83452dfffffffff,233.0,0.0,0.0
83452efffffffff,5693.0,0.0,0.0
834530fffffffff,2.0,0.0,0.0
834532fffffffff,3.0,0.0,0.0
834534fffffffff,3.0,0.0,0.0
834535fffffffff,4.0,0.0,0.0
834536fffffffff,2.0,0.0,0.0
834564fffffffff,3.0,0.0,0.0
834572fffffffff,24.0,0.0,0.0
834576fffffffff,18.0,0.0,0.0
834802fffffffff,4.0,0.0,0.0
834806fffffffff,2.0,0.0,0.0
83480afffffffff,64.0,0.0,0.0
83480efffffffff,2.0,0.0,0.0
834815fffffffff,14.0,0.0,0.0
83481dfffffffff,1.0,0.0,0.0
834830fffffffff,22.0,0.0,0.0
834832fffffffff,4.0,0.0,0.0
834833fffffffff,48.0,0.0,0.0
834836fffffffff,314.0,0.0,0.0
834884fffffffff,24.0,0.0,0.0
8348a2fffffffff,395.0,0.0,0.0
8348a6fffffffff,3.0,0.0,0.0
8348b4fffffffff,3.0,0.0,0.0
8348b5fffffffff,42.0,0.0,0.0
8348e4fffffffff,34.0,0.0,0.0
8348e5fffffffff,12.0,0.0,0.0
834980fffffffff,10.0,0.0,0.0
834986fffffffff,4.0,0.0,0.0
83498cfffffffff,7.0,0.0,0.0
83498dfffffffff,4.0,0.0,0.0
834990fffffffff,4.0,0.0,0.0
834993fffffffff,7.0,0.0,0.0
834996fffffffff,76.0,0.0,0.0
834998fffffffff,225.0,0.0,0.0
83499afffffffff,2.0,0.0,0.0
83499bfffffffff,7.0,0.0,0.0
83499cfffffffff,25.0,0.0,0.0
83499efffffffff,9.0,0.0,0.0
8349a2fffffffff,13.0,0.0,0.0
8349a3fffffffff,3.0,0.0,0.0
8349a8fffffffff,133.0,0.0,0.0
8349a9fffffffff,202.0,0.0,0.0
8349aafffffffff,3.0,0.0,0.0
8349abfffffffff,12.0,0.0,0.0
8349adfffffffff,11.0,0.0,0.0
8349aefffffffff,17.0,0.0,0.0
8349b1fffffffff,4.0,0.0,0.0
8349b3fffffffff,12.0,0.0,0.0
8349b5fffffffff,52.0,0.0,0.0
836602fffffffff,40.0,0.0,0.0
836604fffffffff,14.0,0.0,0.0
836606fffffffff,6.0,0.0,0.0
836608fffffffff,27.0,0.0,0.0
836609fffffffff,2.0,0.0,0.0
83660afffffffff,19.0,0.0,0.0
83660bfffffffff,1.0,0.0,0.0
83660dfffffffff,5.0,0.0,0.0
836610fffffffff,108.0,0.0,0.0
836611fffffffff,31.0,0.0,0.0
836612fffffffff,28.0,0.0,0.0
836613fffffffff,59.0,0.0,0.0
836616fffffffff,345.0,0.0,0.0
836618fffffffff,78.0,0.0,0.0
836619fffffffff,53.0,0.0,0.0
83661afffffffff,10.0,0.0,0.0
83661bfffffffff,9.0,0.0,0.0
83661dfffffffff,12.0,0.0,0.0
83661efffffffff,5.0,0.0,0.0
836620fffffffff,199.0,0.0,0.0
836621fffffffff,2.0,0.0,0.0
836622fffffffff,62.0,0.0,0.0
836623fffffffff,1.0,0.0,0.0
836625fffffffff,18.0,0.0,0.0
836631fffffffff,23.0,0.0,0.0
836641fffffffff,4.0,0.0,0.0
836656fffffffff,30.0,0.0,0.0
83665afffffffff,19.0,0.0,0.0
83665bfffffffff,8.0,0.0,0.0
836684fffffffff,36.0,0.0,0.0
8366a0fffffffff,860.0,0.0,0.0
8366a1fffffffff,479.0,0.0,0.0
8366a2fffffffff,126.0,0.0,0.0
8366a3fffffffff,293.0,0.0,0.0
8366a5fffffffff,1951.0,0.0,0.0
8366a6fffffffff,15.0,0.0,0.0
8366aefffffffff,30.0,0.0,0.0
8366b0fffffffff,188.0,0.0,0.0
8366b1fffffffff,11.0,0.0,0.0
8366b4fffffffff,1194.0,0.0,0.0
8366b5fffffffff,766.0,0.0,0.0
8366b6fffffffff,80.0,0.0,0.0
8366c0fffffffff,8.0,0.0,0.0
8366c2fffffffff,236.0,0.0,0.0
8366c3fffffffff,17.0,0.0,0.0
8366c4fffffffff,19.0,0.0,0.0
8366c6fffffffff,9.0,0.0,0.0
8366cefffffffff,5.0,0.0,0.0
8366d1fffffffff,5.0,0.0,0.0
8366d3fffffffff,9.0,0.0,0.0
8366d8fffffffff,28.0,0.0,0.0
8366dafffffffff,36.0,0.0,0.0
8366dbfffffffff,16.0,0.0,0.0
8366dcfffffffff,414.0,0.0,0.0
8366ddfffffffff,33.0,0.0,0.0
8366defffffffff,232.0,0.0,0.0
8366e0fffffffff,34.0,0.0,0.0
8366e1fffffffff,20.0,0.0,0.0
8366e2fffffffff,13.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0
8366e4fffffffff,240.0,0.0,0.0
8366e5fffffffff,93.0,0.0,0.0
8366e6fffffffff,182.0,0.0,0.0
8366ecfffffffff,11.0,0.0,0.0
8366eefffffffff,17.0,0.0,0.0
8366f0fffffffff,5.0,0.0,0.0
8366f1fffffffff,26.0,0.0,0.0
8366f5fffffffff,19.0,0.0,0.0
836792fffffffff,6.0,0.0,0.0
836793fffffffff,3.0,0.0,0.0
836796fffffffff,2.0,0.0,0.0
83679afffffffff,173.0,0.0,0.0
83679bfffffffff,98.0,0.0,0.0
836d04fffffffff,151.0,0.0,0.0
836d05fffffffff,174.0,0.0,0.0
836d06fffffffff,11.0,0.0,0.0
836d14fffffffff,3.0,0.0,0.0
836d15fffffffff,125.0,0.0,0.0
836d20fffffffff,4.0,0.0,0.0
836d21fffffffff,35.0,0.0,0.0
836d22fffffffff,8.0,0.0,0.0
836d23fffffffff,153.0,0.0,0.0
836d24fffffffff,5.0,0.0,0.0
