cell_id,Chamaetylas poliocephala,Chamaetylas poliocephala poliocephala,Chamaetylas poliocephala hallae,Chamaetylas poliocephala compsonota,Chamaetylas poliocephala [carruthersi Group]
8454cc3ffffffff,1.0,0.0,0.0,0.0,0.0
8454e9bffffffff,1.0,0.0,0.0,0.0,0.0
8458d23ffffffff,9.0,0.0,0.0,0.0,0.0
8458d33ffffffff,4.0,0.0,0.0,2.0,0.0
8458d35ffffffff,8.0,0.0,0.0,8.0,0.0
8458de5ffffffff,4.0,0.0,0.0,4.0,0.0
846a825ffffffff,1.0,0.0,0.0,0.0,0.0
846ac03ffffffff,11.0,0.0,0.0,0.0,4.0
846ac0bffffffff,28.0,0.0,0.0,0.0,6.0
846ac15ffffffff,76.0,0.0,0.0,0.0,14.0
846ac1dffffffff,1.0,0.0,0.0,0.0,0.0
846ac35ffffffff,1.0,0.0,0.0,0.0,0.0
846ac3dffffffff,1.0,0.0,0.0,0.0,0.0
846ac89ffffffff,1.0,0.0,0.0,0.0,1.0
846acadffffffff,2.0,0.0,0.0,0.0,0.0
846acc7ffffffff,1.0,0.0,0.0,0.0,0.0
846acd1ffffffff,1.0,0.0,0.0,0.0,0.0
846acd5ffffffff,17.0,0.0,0.0,0.0,1.0
846ace5ffffffff,1.0,0.0,0.0,0.0,0.0
846adc1ffffffff,1.0,0.0,0.0,0.0,0.0
846adc9ffffffff,2.0,0.0,0.0,0.0,0.0
846aea1ffffffff,23.0,0.0,0.0,0.0,3.0
846aeabffffffff,1.0,0.0,0.0,0.0,0.0
8475085ffffffff,7.0,0.0,0.0,0.0,0.0
8475087ffffffff,4.0,0.0,0.0,0.0,0.0
8475295ffffffff,6.0,0.0,0.0,0.0,0.0
8475a07ffffffff,12.0,0.0,0.0,0.0,0.0
8475b01ffffffff,1.0,0.0,0.0,0.0,0.0
847a409ffffffff,1.0,0.0,0.0,0.0,0.0
847a455ffffffff,23.0,0.0,0.0,0.0,0.0
847a457ffffffff,2.0,0.0,0.0,0.0,0.0
847a45bffffffff,21.0,0.0,0.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0,0.0,0.0
847a4cbffffffff,231.0,0.0,0.0,0.0,0.0
847a4ddffffffff,211.0,0.0,0.0,0.0,0.0
847a6e5ffffffff,39.0,0.0,0.0,0.0,0.0
847a6e7ffffffff,2.0,0.0,0.0,0.0,0.0
8482181ffffffff,3.0,0.0,0.0,0.0,0.0
848282dffffffff,1.0,0.0,0.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0,0.0,0.0
84828d1ffffffff,151.0,0.0,0.0,57.0,0.0
8482a81ffffffff,1.0,0.0,0.0,0.0,0.0
8482a8dffffffff,2.0,0.0,0.0,0.0,0.0
8482aadffffffff,2.0,0.0,0.0,0.0,0.0
8482ab3ffffffff,6.0,0.0,0.0,0.0,0.0
8482ab7ffffffff,1.0,0.0,0.0,0.0,0.0
8482d07ffffffff,7.0,0.0,0.0,0.0,0.0
8482d1dffffffff,23.0,0.0,0.0,16.0,0.0
8482d27ffffffff,7.0,0.0,0.0,1.0,0.0
8482d3dffffffff,18.0,0.0,0.0,6.0,0.0
8483151ffffffff,12.0,0.0,0.0,0.0,0.0
