cell_id,Cyornis omissus,Cyornis omissus [omissus Group],Cyornis omissus djampeanus
8468c33ffffffff,1.0,0.0,0.0
8468c81ffffffff,105.0,34.0,0.0
8468c8bffffffff,1.0,1.0,0.0
8468ca9ffffffff,18.0,9.0,0.0
8468ce7ffffffff,1.0,0.0,0.0
8468d05ffffffff,1.0,0.0,0.0
8468d13ffffffff,5.0,3.0,0.0
8468d23ffffffff,15.0,8.0,0.0
8468d2bffffffff,128.0,58.0,0.0
8468d8dffffffff,1.0,0.0,0.0
8468dcdffffffff,6.0,6.0,0.0
8468ddbffffffff,2.0,2.0,0.0
849500bffffffff,15.0,6.0,0.0
8495031ffffffff,1.0,1.0,0.0
849503bffffffff,1.0,1.0,0.0
84951ddffffffff,18.0,0.0,14.0
8495217ffffffff,5.0,3.0,0.0
