cell_id,Aethopyga nipalensis,Aethopyga nipalensis [nipalensis Group],Aethopyga nipalensis angkanensis
843c029ffffffff,4.0,0.0,0.0
843c02dffffffff,3.0,3.0,0.0
843c0a5ffffffff,17.0,0.0,0.0
843c0adffffffff,4.0,2.0,0.0
843c193ffffffff,1.0,0.0,0.0
843c1d3ffffffff,12.0,2.0,0.0
843c33bffffffff,4.0,4.0,0.0
843c437ffffffff,2.0,2.0,0.0
843c527ffffffff,17.0,4.0,0.0
843c567ffffffff,4.0,4.0,0.0
843c581ffffffff,4.0,0.0,0.0
843c5b1ffffffff,3.0,0.0,0.0
843c5b7ffffffff,35.0,0.0,0.0
843c5cbffffffff,2.0,2.0,0.0
843cc03ffffffff,3.0,0.0,0.0
843cc0bffffffff,1.0,0.0,0.0
843cc31ffffffff,4.0,0.0,0.0
843cdd5ffffffff,2.0,0.0,0.0
843ce4dffffffff,13.0,0.0,0.0
843ce85ffffffff,2.0,0.0,0.0
843d101ffffffff,2.0,0.0,0.0
843d139ffffffff,8.0,0.0,0.0
843d13bffffffff,3.0,0.0,0.0
843d1edffffffff,1.0,1.0,0.0
843dad9ffffffff,4.0,0.0,0.0
84404c5ffffffff,4.0,4.0,0.0
84404c7ffffffff,3.0,0.0,0.0
846434bffffffff,2.0,1.0,0.0
846482bffffffff,63.0,0.0,46.0
8464a35ffffffff,1.0,1.0,0.0
