cell_id,Tolmomyias assimilis,Tolmomyias assimilis neglectus,Tolmomyias assimilis examinatus,Tolmomyias assimilis obscuriceps,Tolmomyias assimilis [assimilis Group],Tolmomyias assimilis sucunduri,Tolmomyias assimilis paraensis
84661c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84661cdffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466411ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
846656dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c5dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d1bffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8466dc3ffffffff,8.0,0.0,0.0,8.0,0.0,0.0,0.0
8466de1ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8466de3ffffffff,3.0,0.0,0.0,2.0,0.0,0.0,0.0
8466debffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e15ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e39ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8480619ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
84814e3ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
848a459ffffffff,5.0,0.0,0.0,0.0,5.0,0.0,0.0
848a809ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
848a81bffffffff,16.0,0.0,0.0,0.0,0.0,16.0,0.0
848a925ffffffff,14.0,0.0,14.0,0.0,0.0,0.0,0.0
848aa87ffffffff,6.0,0.0,0.0,0.0,0.0,6.0,0.0
848aaa5ffffffff,11.0,0.0,0.0,0.0,0.0,11.0,0.0
848aaadffffffff,11.0,0.0,0.0,0.0,0.0,11.0,0.0
848aab9ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
848af61ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
848b22dffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
848b5cdffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
848f465ffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
